task_id,question,gold_answer
T4-E2,"Looking only at reviews about the app or website, is the negative sentiment rate higher in Fashion or Travel Booking?","Travel Booking has the higher negative sentiment rate (44.1%) for the app or website, compared to 27.9% for Fashion."
T4-H1,"Looking only at reviews about ease of use, is the negative sentiment rate higher in Groceries or Trading?","Groceries has the higher negative sentiment rate (42.4%) for ease of use, compared to 10.9% for Trading."
T4-H2,"Looking only at reviews about ease of use, is the negative sentiment rate higher in Banking or Consulting?","No answer. Consulting has no reviews mentioning ease of use, so the two industries cannot be compared on this topic."
T4-H3,"Looking only at reviews about price and value for money, is the negative sentiment rate higher in Consulting or Streaming?","No answer. Neither Consulting nor Streaming has any reviews mentioning price and value for money, so the two industries cannot be compared on this topic."
T5-E1,Do CompareHive and Tallywise have significantly different negative sentiment rates for staff attitude?,No. The difference in negative sentiment rates between CompareHive (10.7%) and Tallywise (15.3%) is not statistically significant (p = 0.315).
T5-E2,Do Trippa and Roamly have significantly different negative sentiment rates for general satisfaction?,Yes. The negative sentiment rates are statistically significantly different between Trippa (43.9%) and Roamly (22.1%) (p = 0.001).
T5-H1,Do Groceries and Price Comparison have significantly different negative sentiment rates for the app or website?,No. The difference in negative sentiment rates between Groceries (48.1%) and Price Comparison (47.4%) is not statistically significant (p = 0.853).
T5-H2,Do Halden Savings and Kestrel Bank have significantly different negative sentiment rates for price and value for money?,No answer. There is insufficient data to run a reliable two-proportion z-test.
T5-H3,Do Northpeak Trading and Quantly have significantly different negative sentiment rates for speed?,No answer. There is insufficient data to run a reliable two-proportion z-test.
T6-E1,How do individual organisations in Banking compare to the industry average on the app or website? Give me each organisation's negative sentiment rate and ignore any organisations with less than 30 mentions about the app or website.,"The Banking industry has an average negative sentiment rate of 18.7% for reviews about the app or website. Among organisations with at least 30 mentions, Halden Savings has the highest negative sentiment rate at 38.7% and is above the industry average, followed by Northeast Bank at 20.0%, also slightly above average. Vanter Financial (12.8%) and Kestrel Bank (12.2%) are below the industry average."
T6-E2,How do individual organisations in Travel Booking compare to the industry average on general satisfaction? Give me each organisation's negative sentiment rate and ignore any organisations with less than 30 mentions about general satisfaction.,"The Travel Booking industry has an average negative sentiment rate of 25.5% for general satisfaction reviews. Among organisations with at least 30 mentions, Trippa has the highest negative sentiment rate at 43.9% and is above the industry average, while Roamly (22.1%), Journeo (19.6%) and Wayfare (8.9%) are all below average."
T6-H1,How do individual organisations in Fashion compare to the industry average on the app or website? Give me each organisation's negative sentiment rate and ignore any organisations with less than 30 mentions about the app or website.,"The Fashion industry has an average negative sentiment rate of 27.5% for reviews about the app or website. Among organisations with at least 30 mentions, Marbrook has the highest negative sentiment rate at 37.3% and is above the industry average, followed by Northerly at 32.8%, also above average. Vella & Co (18.6%) and Sable Row (18.2%) are below average."
T6-H2,How do individual organisations in Consulting compare to the industry average on the app or website? Give me each organisation's negative sentiment rate and ignore any organisations with less than 30 mentions about the app or website.,"No answer. No organisation in Consulting has any reviews about the app or website, so no comparison can be made."
T6-H3,How do individual organisations in Streaming compare to the industry average on general satisfaction? Give me each organisation's negative sentiment rate and ignore any organisations with less than 30 mentions about general satisfaction.,"No answer. No organisation in Streaming has any reviews about general satisfaction, so no comparison can be made."
T7-E1,What is the biggest driver of dissatisfaction at Northeast Bank? Rank topics by negative sentiment rate and ignore any topics with less than 30 mentions.,"Email support is Northeast Bank's biggest driver of dissatisfaction. It has the highest negative sentiment rate at 87.5% among all topics with at least 30 mentions, ahead of discounts and promotions (82.5%) and staff attitude (77.5%)."
T7-E2,What is the biggest driver of dissatisfaction at Wayfare? Rank topics by negative sentiment rate and ignore any topics with less than 30 mentions.,"Account access is Wayfare's biggest driver of dissatisfaction. It has the highest negative sentiment rate at 92.5% among all topics with at least 30 mentions, ahead of email support (85.0%) and phone support (67.5%)."
T7-H1,What is the biggest driver of dissatisfaction at Sable Row? Rank topics by negative sentiment rate and ignore any topics with less than 30 mentions.,"Staff attitude is Sable Row's biggest driver of dissatisfaction. It has the highest negative sentiment rate at 78.6% among all topics with at least 30 mentions, ahead of general satisfaction (30.8%) and speed (30.0%)."
T7-H2,What is the biggest driver of dissatisfaction at Investa? Rank topics by negative sentiment rate and ignore any topics with less than 30 mentions.,"Phone support is Investa's biggest driver of dissatisfaction. It has the highest negative sentiment rate at 52.5% among all topics with at least 30 mentions, ahead of price and value for money (41.2%) and staff attitude (31.5%)."
T7-H3,What is the biggest driver of dissatisfaction at Pinecast? Rank topics by negative sentiment rate and ignore any topics with less than 30 mentions.,No answer. All topics have insufficient reviews to claim that any of them drives dissatisfaction.
T8-E1,Which 2 issues should Wayfare address first? Rank aspects using this formula: priority score = aspect prevalence x aspect negative rate. Ignore any aspects with less than 30 negative reviews.,"Wayfare should improve the app or website first (priority score: 0.1273), followed by account access (priority score: 0.0575)."
T8-E2,Which 2 issues should Larkmead Market address first? Rank aspects using this formula: priority score = aspect prevalence x aspect negative rate. Ignore any aspects with less than 30 negative reviews.,"Larkmead Market should improve the app or website first (priority score: 0.1373), followed by ease of use (priority score: 0.1196)."
T8-H1,Which 2 issues should Vella & Co address first? Rank aspects using this formula: priority score = aspect prevalence x aspect negative rate. Ignore any aspects with less than 30 negative reviews.,"Vella & Co should improve speed first (priority score: 0.0566), followed by phone support (priority score: 0.0412)."
T8-H2,Which 2 issues should CompareHive address first? Rank aspects using this formula: priority score = aspect prevalence x aspect negative rate. Ignore any aspects with less than 30 negative reviews.,"CompareHive should improve the app or website first (priority score: 0.0591). The topic with the second highest priority score is general satisfaction, which is not actionable."
T8-H3,Which 2 issues should Kerbside address first? Rank aspects using this formula: priority score = aspect prevalence x aspect negative rate. Ignore any aspects with less than 30 negative reviews.,"Kerbside should improve the app or website first (priority score: 0.1290), followed by email support (priority score: 0.1250)."
T9-E1,Why does Halden Savings have a higher complaint rate than Kestrel Bank? What should Halden Savings improve first?,"The higher complaint rate is driven by discounts and promotions, so Halden Savings should improve that first. Reviews about discounts and promotions have a negative sentiment rate of 82.5%, compared with 60.0% at Kestrel Bank - the largest gap between the two banks at 22.5 percentage points."
T9-E2,Why does CompareHive have a higher complaint rate than PricePilot? What should CompareHive improve first?,"The higher complaint rate is driven by the app or website, so CompareHive should improve that first. Reviews about the app or website have a negative sentiment rate of 74.0%, compared with 34.2% at PricePilot - the largest gap between the two price comparison platforms at 39.8 percentage points."
T9-H1,Why does Sable Row have a higher complaint rate than Northerly? What should Sable Row improve first?,"The higher complaint rate is driven by staff attitude, so Sable Row should improve that first. Reviews about staff attitude have a negative sentiment rate of 78.6%, compared with 54.8% at Northerly - the largest actionable gap between the two fashion brands at 23.8 percentage points. General satisfaction has the largest gap overall, but it is not actionable."
T9-H2,Why does Larkmead Market have a higher complaint rate than Oakpan Grocers? What should Larkmead Market improve first?,"The higher complaint rate is driven by speed, so Larkmead Market should improve that first. Reviews about speed have a negative sentiment rate of 56.9%, compared with 23.7% at Oakpan Grocers - the largest gap between the two grocery stores at 33.2 percentage points."
T9-H3,Why does Halden Savings have a higher complaint rate than Northeast Bank? What should Halden Savings improve first?,"No answer. The data does not explain what drives the higher complaint rate. The only topic where Halden Savings has a higher negative rate than Northeast Bank is general satisfaction, but it is not actionable. Halden Savings should collect more customer feedback to understand what is driving dissatisfaction."
T10-E1,"Write a CX report for Trippa. Cover overall sentiment, the top 3 issues ranked by negative sentiment rate, and how the top issue compares with the industry average using a statistical significance test. Also give me an improvement roadmap.","CX report for Trippa

  Overview: Trippa received 674 labelled mentions - 56.2% positive, 42.3% negative, 1.5% neutral.

  Top 3 issues:
    1. account access (87.5% negative, 40 mentions) - joint first
    1. email support (87.5% negative, 40 mentions) - joint first
    3. phone support (65.0% negative, 40 mentions)

  Industry comparison: Trippa performs better than the Travel Booking average on account access (87.5% vs 93.1%) and slightly worse on email support (87.5% vs 86.2%). Tested against the rest of the industry, neither difference is statistically significant (p = 0.104 for account access, p = 0.791 for email support), so Trippa's performance is broadly similar to its industry peers.
  
  Roadmap:
    1. Improve account access and email support together - tied on both mentions and negative rate
    2. Improve phone support (65.0% negative across 40 mentions)"
T10-E2,"Write a CX report for Kestrel Bank. Cover overall sentiment, the top 3 issues ranked by negative sentiment rate, and how the top issue compares with the industry average using a statistical significance test. Also give me an improvement roadmap.","CX report for Kestrel Bank

  Overview: Kestrel Bank received 709 labelled mentions - 51.5% positive, 38.9% negative, 9.6% neutral.

  Top 3 issues:
    1. staff attitude (95.0% negative, 40 mentions)
    2. email support (82.5% negative, 40 mentions) - joint second
    2. phone support (82.5% negative, 40 mentions) - joint second

  Industry comparison: Kestrel Bank performs worse than the Banking average on staff attitude (95.0% vs 90.0%). Tested against the rest of the industry, the difference is not statistically significant (p = 0.224), so Kestrel Bank's performance is broadly similar to its industry peers.

  Roadmap:
    1. Improve staff attitude (95.0% negative across 40 mentions)
    2. Improve email support and phone support together - tied on both mentions and negative rate"
T10-H1,"Write a CX report for Vella & Co. Cover overall sentiment, the top 3 issues ranked by negative sentiment rate, and how the top issue compares with the industry average using a statistical significance test. Also give me an improvement roadmap.","CX report for Vella & Co

  Overview: Vella & Co received 777 labelled mentions - 74.5% positive, 24.3% negative, 1.2% neutral.

  Top 3 issues:
    1. phone support (80.0% negative, 40 mentions)
    2. staff attitude (48.3% negative, 58 mentions)
    3. price and value for money (41.7% negative, 36 mentions)

  Industry comparison: Vella & Co performs worse than the Fashion average on phone support (80.0% vs 74.5%). Tested against the rest of the industry, the difference is not statistically significant (p = 0.290), so Vella & Co's performance is broadly similar to its industry peers.

  Roadmap:
    1. Improve phone support (80.0% negative across 40 mentions)
    2. Improve staff attitude (48.3% negative across 58 mentions)
    3. Improve price and value for money (41.7% negative across 36 mentions)"
T10-H2,"Write a CX report for Freshbury. Cover overall sentiment, the top 3 issues ranked by negative sentiment rate, and how the top issue compares with the industry average using a statistical significance test. Also give me an improvement roadmap.","CX report for Freshbury

  Overview: Freshbury received 677 labelled mentions - 59.2% positive, 38.8% negative, 1.9% neutral.

  Top 3 issues:
    1. the app or website (49.6% negative, 262 mentions)
    2. speed (38.9% negative, 54 mentions)
    3. ease of use (30.2% negative, 189 mentions)

  Industry comparison: Freshbury performs worse than the Groceries average on the app or website (49.6% vs 48.1%). Tested against the rest of the industry, the difference is not statistically significant (p = 0.452), so Freshbury's performance is broadly similar to its industry peers.

  Roadmap:
    1. Improve the app or website (49.6% negative across 262 mentions)
    2. Improve speed (38.9% negative across 54 mentions)
    3. Improve ease of use (30.2% negative across 189 mentions)"
T10-H3,"Write a CX report for Lumora. Cover overall sentiment, the top 3 issues ranked by negative sentiment rate, and how the top issue compares with the industry average using a statistical significance test. Also give me an improvement roadmap.","No answer. A full CX report cannot be produced because there is insufficient data to rank the top 3 issues and create a roadmap. Only one topic (account access) has at least 30 reviews. The negative sentiment rate is 35%, which is slightly lower than the 36.7% for the rest of the industry, and the difference is not statistically significant (p=0.8653)."
