task_id,question,agent_answer,gold_answer
T2-E1,"What is the sentiment breakdown across all Ride Hailing reviews, as percentages?","Across all Ride Hailing reviews (1532 mentions), 72.8% are negative (1115 mentions), 5.2% are neutral (79 mentions), and 22.1% are positive (338 mentions).","Ride Hailing sentiment is 22.1% positive, 72.8% negative and 5.2% neutral across 1532 mentions."
T2-E2,"What is the sentiment breakdown across all Marbrook reviews, as percentages?","Marbrook reviews are 32.8% negative (342 mentions), 1.6% neutral (17 mentions), and 65.6% positive (685 mentions), out of a total of 1044 reviews.","Marbrook sentiment is 65.6% positive, 32.8% negative and 1.6% neutral across 1044 mentions."
T2-H1,"What is the sentiment breakdown across all Vanter Financial reviews, as percentages?","The sentiment breakdown for Vanter Financial reviews is: 28.3% negative (119 mentions), 11.4% neutral (48 mentions), and 60.2% positive (253 mentions).","Vanter Financial sentiment is 60.2% positive, 28.3% negative and 11.4% neutral across 420 mentions."
T2-H2,"What is the sentiment breakdown across all PricePilot reviews, as percentages?","Across all 805 PricePilot reviews, the sentiment breakdown is: 15.5% negative, 0.4% neutral, and 84.1% positive.","PricePilot sentiment is 84.1% positive, 15.5% negative and 0.4% neutral across 805 mentions."
T2-H3,"What is the sentiment breakdown across all Sable Row reviews, as percentages?","Sable Row reviews have the following sentiment breakdown: 30.2% negative (279 reviews), 0.3% neutral (3 reviews), and 69.5% positive (643 reviews).","Sable Row sentiment is 69.5% positive, 30.2% negative and 0.3% neutral across 925 mentions."
T3-E1,What are the top 3 topics with the most number of complaints in Travel Booking?,"The top 3 topics with the most complaints in Travel Booking are: app-website (215 mentions), account-access (149 mentions), and email (138 mentions).","The top 3 topics with the most complaints in Travel Booking are: the app or website (215), account access (149) and email support (138)."
T3-E2,What are the top 3 topics with the most number of complaints in Groceries?,"The top 3 topics with the most complaints in Groceries are app-website (383 mentions), ease-of-use (215 mentions), and email (100 mentions).","The top 3 topics with the most complaints in Groceries are: the app or website (383), ease of use (215) and email support (100)."
T3-H1,What are the top 3 topics with the most number of complaints in Fashion?,"The top 3 topics with the most complaints in Fashion are app-website (241 mentions), general-satisfaction (160 mentions) and speed (117 mentions).","The top 3 topics with the most complaints in Fashion are: the app or website (241), general satisfaction (160) and speed (117)."
T3-H2,What are the top 3 topics with the most number of complaints in Price Comparison?,"The top 3 topics with the most complaints in Price Comparison are app-website (148 mentions), price-value-for-money (65 mentions), and general-satisfaction (48 mentions).","The top 3 topics with the most complaints in Price Comparison are: the app or website (148), price and value for money (65) and general satisfaction (48)."
T3-H3,What are the top 3 topics with the most number of complaints in Consulting?,"No answer. There is only one topic with at least 30 negative mentions in Consulting: account-access (52 mentions). To report reliably, a slice needs at least 30 mentions.","No answer. Consulting reviews in the dataset only cover one
topic (account access), so a top 3 ranking of complaint topics does not exist."
T4-E1,"Looking only at reviews about price and value for money, is the negative sentiment rate higher in Banking or Ride Hailing?","For reviews about price and value for money, the negative sentiment rate is significantly higher in Ride Hailing (75.8%, 91 mentions) than in Banking (20.0%, 32 mentions). The difference is 55.8 percentage points.","Ride Hailing has the higher negative sentiment rate (75.8%) for price and value for money, compared to 20.0% for Banking."
T4-E2,"Looking only at reviews about the app or website, is the negative sentiment rate higher in Fashion or Travel Booking?","The negative sentiment rate for 'app-website' reviews is higher in Travel Booking (44.1%, 215 out of 488 reviews) than in Fashion (27.9%, 220 out of 788 reviews). The difference of 16.1 percentage points is statistically significant.","Travel Booking has the higher negative sentiment rate (44.1%) for the app or website, compared to 27.9% for Fashion."
T4-H1,"Looking only at reviews about ease of use, is the negative sentiment rate higher in Groceries or Trading?",No answer. The aspect 'ease of use' is not present in the dataset. Please provide a valid aspect from the dataset.,"Groceries has the higher negative sentiment rate (42.4%) for ease of use, compared to 10.9% for Trading."
T4-H2,"Looking only at reviews about ease of use, is the negative sentiment rate higher in Banking or Consulting?","No answer. There are no reviews about 'ease-of-use' in the Consulting industry, so a comparison of negative sentiment rates cannot be made.","No answer. Consulting has no reviews mentioning ease of use, so the two industries cannot be compared on this topic."
T4-H3,"Looking only at reviews about price and value for money, is the negative sentiment rate higher in Consulting or Streaming?","No answer. There are no reviews tagged with 'price-value-for-money' in either the Consulting or Streaming industries, so a comparison cannot be made.","No answer. Neither Consulting nor Streaming has any reviews mentioning price and
value for money, so the two industries cannot be compared on this topic."
T5-E1,Do CompareHive and Tallywise have significantly different negative sentiment rates for staff attitude?,"There is no statistically significant difference in negative sentiment rates for staff attitude between CompareHive and Tallywise (p=0.315). CompareHive has a negative sentiment rate of 10.7% (11 mentions out of 103) for staff attitude, while Tallywise has a negative sentiment rate of 15.3% (18 mentions out of 118). The difference is 4.6 percentage points.",No. The difference in negative sentiment rates between CompareHive (10.7%) and Tallywise (15.3%) is not statistically significant (p = 0.315).
T5-E2,Do Trippa and Roamly have significantly different negative sentiment rates for general satisfaction?,"Yes, Trippa and Roamly have significantly different negative sentiment rates for general satisfaction. Trippa has a negative sentiment rate of 43.9% (54 out of 123 mentions), while Roamly has a negative sentiment rate of 22.1% (21 out of 95 mentions). The difference is 21.8 percentage points, and the z-test shows this difference is statistically significant (p = 0.0008).",Yes. The negative sentiment rates are statistically significantly different between Trippa (43.9%) and Roamly (22.1%) (p = 0.001).
T5-H1,Do Groceries and Price Comparison have significantly different negative sentiment rates for the app or website?,"No answer. The aspect 'app or website' (or 'app' or 'website' individually) is not present in the dataset for the 'Groceries' industry, so a comparison cannot be made.",No. The difference in negative sentiment rates between Groceries (48.1%) and Price Comparison (47.4%) is not statistically significant (p = 0.853).
T5-H2,Do Halden Savings and Kestrel Bank have significantly different negative sentiment rates for price and value for money?,"No answer. The aspects ""price"" and ""value for money"" are not found in the dataset. Please provide valid aspect names.",No answer. There is insufficient data to run a reliable two-proportion z-test.
T5-H3,Do Northpeak Trading and Quantly have significantly different negative sentiment rates for speed?,"No answer. The z-test for negative sentiment rates for 'speed' between Northpeak Trading and Quantly is not reliable because one of the four cells has fewer than 10 observations. Northpeak Trading has 12 negative mentions and 8 non-negative mentions for speed, while Quantly has 13 negative mentions and 12 non-negative mentions for speed.",No answer. There is insufficient data to run a reliable two-proportion z-test.
T6-E1,How do individual organisations in Banking compare to the industry average on the app or website? Give me each organisation's negative sentiment rate and ignore any organisations with less than 30 mentions about the app or website.,"For the 'app-website' aspect in the Banking industry, the average negative sentiment rate is 18.7% (80 negative mentions out of 427 total mentions). The individual organisations compare as follows:
- Northeast Bank: 20.0% (28 negative mentions out of 140 total mentions)
- Kestrel Bank: 12.2% (17 negative mentions out of 139 total mentions)
- Vanter Financial: 12.8% (11 negative mentions out of 86 total mentions)
- Halden Savings: 38.7% (24 negative mentions out of 62 total mentions)","The Banking industry has an average negative sentiment rate of 18.7% for reviews about the app or website. Among organisations with at least
30 mentions, Halden Savings has the highest negative sentiment rate at 38.7% and is above the industry average, followed by Northeast Bank at 20.0%,
also slightly above average. Vanter Financial (12.8%) and Kestrel Bank (12.2%) are below the industry average."
T6-E2,How do individual organisations in Travel Booking compare to the industry average on general satisfaction? Give me each organisation's negative sentiment rate and ignore any organisations with less than 30 mentions about general satisfaction.,"The industry average negative sentiment rate for general satisfaction in Travel Booking is 25.5% (103 negative mentions out of 404 total mentions). Trippa has a negative sentiment rate of 43.9% (54 mentions), Roamly has 22.1% (21 mentions), Journeo has 19.6% (21 mentions), and Wayfare has 8.9% (7 mentions).","The Travel Booking industry has an average negative sentiment rate of 25.5% for general satisfaction reviews. Among organisations with at
least 30 mentions, Trippa has the highest negative sentiment rate at 43.9% and is above the industry average, while Roamly (22.1%), Journeo (19.6%)
and Wayfare (8.9%) are all below average."
T6-H1,How do individual organisations in Fashion compare to the industry average on the app or website? Give me each organisation's negative sentiment rate and ignore any organisations with less than 30 mentions about the app or website.,"The average negative sentiment rate for the 'app-website' aspect in the Fashion industry is 27.5% (241 negative mentions out of 877 total mentions).

Here's how individual organisations compare:
*   **Marbrook**: 37.3% negative sentiment (103 negative mentions out of 276 total mentions).
*   **Northerly**: 32.8% negative sentiment (63 negative mentions out of 192 total mentions).
*   **Vella & Co**: 18.6% negative sentiment (29 negative mentions out of 156 total mentions).
*   **Sable Row**: 18.2% negative sentiment (46 negative mentions out of 253 total mentions).","The Fashion industry has an average negative sentiment rate of 27.5% for reviews about the app or website. Among organisations with at least
30 mentions, Marbrook has the highest negative sentiment rate at 37.3% and is above the industry average, followed by Northerly at 32.8%, also above
average. Vella & Co (18.6%) and Sable Row (18.2%) are below average."
T6-H2,How do individual organisations in Consulting compare to the industry average on the app or website? Give me each organisation's negative sentiment rate and ignore any organisations with less than 30 mentions about the app or website.,"No answer. The aspect 'app or website' does not have at least 30 mentions in the Consulting industry, so a reliable comparison cannot be made.","No answer. No organisation in Consulting has any reviews about the app or website, so no comparison can be made."
T6-H3,How do individual organisations in Streaming compare to the industry average on general satisfaction? Give me each organisation's negative sentiment rate and ignore any organisations with less than 30 mentions about general satisfaction.,No answer. There are no mentions of 'general-satisfaction' in the 'Streaming' industry in the dataset.,"No answer. No organisation in Streaming has any reviews about general satisfaction, so no comparison can be made."
T7-E1,What is the biggest driver of dissatisfaction at Northeast Bank? Rank topics by negative sentiment rate and ignore any topics with less than 30 mentions.,"The biggest drivers of dissatisfaction at Northeast Bank, ranked by negative sentiment rate, are: email (87.5% negative rate, 35 mentions), discounts and promotions (82.5% negative rate, 33 mentions), and attitude of staff (77.5% negative rate, 31 mentions).","Email support is Northeast Bank's biggest driver of dissatisfaction. It has the highest negative sentiment rate at 87.5% among all topics with
at least 30 mentions, ahead of discounts and promotions (82.5%) and staff attitude (77.5%)."
T7-E2,What is the biggest driver of dissatisfaction at Wayfare? Rank topics by negative sentiment rate and ignore any topics with less than 30 mentions.,"The biggest drivers of dissatisfaction at Wayfare, ranked by negative sentiment rate, are: 1. account-access: 92.5% negative sentiment (37 mentions out of 40) 2. email: 85.0% negative sentiment (34 mentions out of 40) 3. phone: 67.5% negative sentiment (27 mentions out of 40)","Account access is Wayfare's biggest driver of dissatisfaction. It has the highest negative sentiment rate at 92.5% among all topics with at
least 30 mentions, ahead of email support (85.0%) and phone support (67.5%)."
T7-H1,What is the biggest driver of dissatisfaction at Sable Row? Rank topics by negative sentiment rate and ignore any topics with less than 30 mentions.,"The biggest driver of dissatisfaction at Sable Row is 'attitude-of-staff', with a negative sentiment rate of 78.6% (44 negative mentions out of 56 total mentions).","Staff attitude is Sable Row's biggest driver of dissatisfaction. It has the highest negative sentiment rate at 78.6% among all topics with at
least 30 mentions, ahead of general satisfaction (30.8%) and speed (30.0%)."
T7-H2,What is the biggest driver of dissatisfaction at Investa? Rank topics by negative sentiment rate and ignore any topics with less than 30 mentions.,"The biggest driver of dissatisfaction at Investa is 'phone', with a negative sentiment rate of 52.5% (21 negative mentions out of 40 total mentions).","Phone support is Investa's biggest driver of dissatisfaction. It has the highest negative sentiment rate at 52.5% among all topics with at
least 30 mentions, ahead of price and value for money (41.2%) and staff attitude (31.5%)."
T7-H3,What is the biggest driver of dissatisfaction at Pinecast? Rank topics by negative sentiment rate and ignore any topics with less than 30 mentions.,"No answer. Pinecast has only 28 mentions, which is below the reliable reporting threshold of 30 mentions.",No answer. All topics have insufficient reviews to claim that any of them drives dissatisfaction.
T8-E1,Which 2 issues should Wayfare address first? Rank aspects using this formula: priority score = aspect prevalence x aspect negative rate. Ignore any aspects with less than 30 negative reviews.,"The two issues Wayfare should address first are app-website and account-access. App-website has a priority score of 0.1273, with 82 negative mentions out of 159 total mentions (51.6% negative rate). Account-access has a priority score of 0.0575, with 37 negative mentions out of 40 total mentions (92.5% negative rate).","Wayfare should improve the app or website first (priority score: 0.1273), followed by account access (priority score: 0.0575)."
T8-E2,Which 2 issues should Larkmead Market address first? Rank aspects using this formula: priority score = aspect prevalence x aspect negative rate. Ignore any aspects with less than 30 negative reviews.,"The two issues Larkmead Market should address first are app-website and ease-of-use. App-website has a priority score of 0.137 (124 negative mentions out of 259 total mentions, with a negative rate of 47.9%). Ease-of-use has a priority score of 0.120 (108 negative mentions out of 175 total mentions, with a negative rate of 61.7%).","Larkmead Market should improve the app or website first (priority score: 0.1373), followed by ease of use (priority score: 0.1196)."
T8-H1,Which 2 issues should Vella & Co address first? Rank aspects using this formula: priority score = aspect prevalence x aspect negative rate. Ignore any aspects with less than 30 negative reviews.,Vella & Co should address 'speed' and 'phone' first. 'Speed' has a priority score of 0.057 (44 negative mentions out of 150 total mentions) and 'phone' has a priority score of 0.041 (32 negative mentions out of 40 total mentions).,"Vella & Co should improve speed first (priority score: 0.0566), followed by phone support (priority score: 0.0412)."
T8-H2,Which 2 issues should CompareHive address first? Rank aspects using this formula: priority score = aspect prevalence x aspect negative rate. Ignore any aspects with less than 30 negative reviews.,"The top issue CompareHive should address first is 'app-website', with a priority score of 0.059. This aspect has 46 negative mentions out of 80 total mentions, resulting in a negative rate of 57.5%. There are no other actionable aspects with at least 30 negative reviews to report.","CompareHive should improve the app or website first (priority score: 0.0591). The topic with the second highest priority score is general satisfaction, which is not actionable."
T8-H3,Which 2 issues should Kerbside address first? Rank aspects using this formula: priority score = aspect prevalence x aspect negative rate. Ignore any aspects with less than 30 negative reviews.,"The two issues Kerbside should address first are app-website and email. App-website has a priority score of 0.129, with 32 negative mentions out of 61 total mentions (52.5% negative rate). Email has a priority score of 0.125, with 31 negative mentions out of 40 total mentions (77.5% negative rate).","Kerbside should improve the app or website first (priority score: 0.1290), followed by email support (priority score: 0.1250)."
T9-E1,Why does Halden Savings have a higher complaint rate than Kestrel Bank? What should Halden Savings improve first?,"Halden Savings has a significantly higher complaint rate than Kestrel Bank. Halden Savings has a negative sentiment rate of 49.7% (284 complaints out of 571 reviews), which is 10.8 percentage points higher than Kestrel Bank's rate of 38.9% (276 complaints out of 709 reviews). This difference is statistically significant. To improve, Halden Savings should first address 'attitude-of-staff', which has 35 negative mentions out of 40 total mentions, resulting in a negative rate of 87.5%.","The higher complaint rate is driven by discounts and promotions, so Halden Savings should improve that first. Reviews about discounts and
promotions have a negative sentiment rate of 82.5%, compared with 60.0% at Kestrel Bank - the largest gap between the two banks at 22.5 percentage
points."
T9-E2,Why does CompareHive have a higher complaint rate than PricePilot? What should CompareHive improve first?,"CompareHive has a significantly higher complaint rate than PricePilot. CompareHive's negative sentiment rate is 33.0% (325 complaints out of 986 reviews), which is 12.4 percentage points higher than PricePilot's rate of 20.6% (191 complaints out of 927 reviews). This difference is statistically significant. 

To improve, CompareHive should first focus on the following aspects:
1. **App/Website**: This is the top priority with 74 complaints out of 100 mentions, resulting in a negative rate of 74.0%.
2. **Account Access**: This is the second priority with 35 complaints out of 40 mentions, resulting in a negative rate of 87.5%.
3. **Discounts/Promotions**: This is the third priority with 29 complaints out of 40 mentions, resulting in a negative rate of 72.5%.","The higher complaint rate is driven by the app or website, so CompareHive should improve that first. Reviews about the app or website have a
negative sentiment rate of 74.0%, compared with 34.2% at PricePilot - the largest gap between the two price comparison platforms at 39.8 percentage
points."
T9-H1,Why does Sable Row have a higher complaint rate than Northerly? What should Sable Row improve first?,"Sable Row has a significantly higher complaint rate than Northerly, with 30.2% (279 complaints out of 925 reviews) compared to Northerly's 19.8% (173 complaints out of 876 reviews). This is a difference of 10.4 percentage points. Sable Row should first improve its app or website, which has 46 negative mentions out of 253 total mentions. The next area for improvement is the attitude of staff, with 44 negative mentions out of 56 total mentions, followed by speed, with 30 negative mentions out of 100 total mentions.","The higher complaint rate is driven by staff attitude, so Sable Row should improve that first. Reviews about staff attitude have a negative
sentiment rate of 78.6%, compared with 54.8% at Northerly - the largest actionable gap between the two fashion brands at 23.8 percentage points.
General satisfaction has the largest gap overall, but it is not actionable."
T9-H2,Why does Larkmead Market have a higher complaint rate than Oakpan Grocers? What should Larkmead Market improve first?,"Larkmead Market has a significantly higher complaint rate than Oakpan Grocers. Larkmead Market has a negative sentiment rate of 44.5% (293 complaints out of 658 reviews), which is 13.3 percentage points higher than Oakpan Grocers' rate of 31.2% (124 complaints out of 397 reviews). This difference is statistically significant. Larkmead Market should first improve 'ease-of-use', which has the highest priority score. It accounts for 170 mentions (25.8% prevalence) and has a negative sentiment rate of 57.6% (98 complaints). The next area to improve is 'app-website', with 189 mentions (28.7% prevalence) and a negative sentiment rate of 46.0% (87 complaints).","The higher complaint rate is driven by speed, so Larkmead Market should improve that first. Reviews about speed have a negative sentiment rate
of 56.9%, compared with 23.7% at Oakpan Grocers - the largest gap between the two grocery stores at 33.2 percentage points."
T9-H3,Why does Halden Savings have a higher complaint rate than Northeast Bank? What should Halden Savings improve first?,"Halden Savings has a significantly higher complaint rate than Northeast Bank. Halden Savings has a negative sentiment rate of 37.2% (125 mentions out of 336 total), while Northeast Bank has a negative sentiment rate of 19.9% (83 mentions out of 417 total). This represents a statistically significant difference of 17.3 percentage points.

To improve, Halden Savings should first focus on 'ease-of-use'. This aspect has 28 negative mentions out of 107 total mentions, resulting in a negative rate of 26.2%. While 'attitude-of-staff' (21 negative mentions out of 22 total) and 'account-access' (16 negative mentions out of 27 total) show higher negative rates, they are based on fewer than 30 mentions and therefore cannot be reliably reported as top improvement areas.","No answer. The data does not explain what drives the higher complaint rate. The only topic where Halden Savings has a higher negative rate
than Northeast Bank is general satisfaction, but it is not actionable. Halden Savings should collect more customer feedback to understand what is
driving dissatisfaction."
