review_id,industry,org,aspect,sentiment
R000071,Fashion,Marbrook,app-website,negative
R000072,Trading,Quantly,app-website,positive
R000073,Groceries,Oakpan Grocers,attitude-of-staff,positive
R000074,Price Comparison,PricePilot,general-satisfaction,positive
R000075,Fashion,Northerly,ease-of-use,positive
R000076,Travel Booking,Wayfare,app-website,negative
R000077,Fashion,Sable Row,general-satisfaction,positive
R000078,Banking,Vanter Financial,ease-of-use,positive
R000079,Groceries,Freshbury,app-website,negative
R000080,Travel Booking,Journeo,speed,positive
R000081,Fashion,Northerly,ease-of-use,positive
R000082,Banking,Vanter Financial,general-satisfaction,positive
R000083,Fashion,Northerly,general-satisfaction,positive
R000084,Fashion,Vella & Co,speed,positive
R000085,Price Comparison,CompareHive,general-satisfaction,negative
R000086,Information Technology,Ardent Systems,app-website,positive
R000087,Travel Booking,Journeo,app-website,positive
R000088,Fashion,Vella & Co,app-website,positive
R000089,Price Comparison,PricePilot,general-satisfaction,positive
R000090,Banking,Kestrel Bank,account-access,negative
R000091,Banking,Kestrel Bank,ease-of-use,positive
R000092,Groceries,Larkmead Market,general-satisfaction,negative
R000093,Fashion,Sable Row,app-website,positive
R000094,Travel Booking,Wayfare,reviews,negative
R000095,Groceries,Larkmead Market,phone,negative
R000096,Ride Hailing,Kerbside,email,negative
R000097,Ride Hailing,Zeta Cabs,price-value-for-money,neutral
R000098,Fashion,Marbrook,attitude-of-staff,negative
R000099,Price Comparison,Tallywise,competitor,positive
R000100,Fashion,Northerly,speed,positive
R000101,Groceries,Freshbury,app-website,neutral
R000102,Travel Booking,Wayfare,attitude-of-staff,negative
R000103,Banking,Kestrel Bank,ease-of-use,positive
R000104,Trading,Quantly,app-website,positive
R000105,Ride Hailing,Zeta Cabs,app-website,positive
R000106,Price Comparison,CompareHive,competitor,negative
R000107,Trading,Investa,general-satisfaction,positive
R000108,Fashion,Northerly,app-website,negative
R000109,Trading,Northpeak Trading,app-website,positive
R000110,Price Comparison,PricePilot,price-value-for-money,positive
R000111,Groceries,Freshbury,ease-of-use,negative
R000112,Banking,Halden Savings,speed,positive
R000113,Fashion,Vella & Co,general-satisfaction,negative
R000114,Groceries,Oakpan Grocers,ease-of-use,positive
R000115,Fashion,Sable Row,general-satisfaction,positive
R000116,Travel Booking,Wayfare,app-website,positive
R000117,Banking,Vanter Financial,general-satisfaction,negative
R000118,Groceries,Freshbury,ease-of-use,positive
R000119,Fashion,Vella & Co,price-value-for-money,positive
R000120,Fashion,Vella & Co,general-satisfaction,positive
R000121,Price Comparison,CompareHive,ease-of-use,negative
R000122,Fashion,Marbrook,price-value-for-money,positive
R000123,Fashion,Sable Row,general-satisfaction,positive
R000124,Price Comparison,Tallywise,price-value-for-money,negative
R000125,Travel Booking,Journeo,attitude-of-staff,positive
R000126,Fashion,Northerly,app-website,positive
R000127,Travel Booking,Wayfare,app-website,negative
R000128,Price Comparison,CompareHive,discounts-promotions,positive
R000129,Price Comparison,Tallywise,general-satisfaction,positive
R000130,Fashion,Northerly,competitor,positive
R000131,Fashion,Marbrook,speed,positive
R000132,Price Comparison,PricePilot,attitude-of-staff,positive
R000133,Fashion,Vella & Co,app-website,positive
R000134,Fashion,Marbrook,app-website,positive
R000135,Price Comparison,Tallywise,attitude-of-staff,positive
R000136,Fashion,Northerly,phone,negative
R000137,Groceries,Oakpan Grocers,discounts-promotions,negative
R000138,Travel Booking,Wayfare,ease-of-use,positive
R000139,Banking,Kestrel Bank,app-website,positive
R000140,Banking,Vanter Financial,app-website,neutral
R000141,Information Technology,Ardent Systems,account-access,neutral
R000142,Groceries,Oakpan Grocers,ease-of-use,negative
R000143,Banking,Vanter Financial,ease-of-use,positive
R000144,Fashion,Sable Row,general-satisfaction,positive
R000145,Price Comparison,CompareHive,app-website,negative
R000146,Travel Booking,Wayfare,app-website,negative
R000147,Trading,Quantly,general-satisfaction,positive
R000148,Fashion,Northerly,ease-of-use,positive
R000149,Travel Booking,Roamly,app-website,negative
R000150,Trading,Northpeak Trading,app-website,negative
R000151,Groceries,Larkmead Market,ease-of-use,positive
R000152,Ride Hailing,Kerbside,account-access,negative
R000153,Price Comparison,PricePilot,ease-of-use,positive
R000154,Fashion,Vella & Co,speed,positive
R000155,Price Comparison,PricePilot,app-website,negative
R000156,Banking,Halden Savings,competitor,positive
R000157,Groceries,Larkmead Market,ease-of-use,negative
R000158,Trading,Quantly,app-website,positive
R000159,Trading,Quantly,app-website,positive
R000160,Fashion,Vella & Co,attitude-of-staff,negative
R000161,Price Comparison,CompareHive,attitude-of-staff,positive
R000162,Fashion,Northerly,phone,negative
R000163,Price Comparison,CompareHive,price-value-for-money,positive
R000164,Trading,Quantly,general-satisfaction,positive
R000165,Travel Booking,Journeo,general-satisfaction,positive
R000166,Consulting,Merrow & Pike,account-access,negative
R000167,Groceries,Larkmead Market,general-satisfaction,positive
R000168,Groceries,Oakpan Grocers,attitude-of-staff,positive
R000169,Price Comparison,Tallywise,price-value-for-money,positive
R000170,Fashion,Northerly,speed,positive
R000171,Trading,Northpeak Trading,phone,positive
R000172,Travel Booking,Wayfare,app-website,negative
R000173,Banking,Northeast Bank,app-website,negative
R000174,Fashion,Vella & Co,app-website,positive
R000175,Groceries,Freshbury,account-access,positive
R000176,Travel Booking,Roamly,app-website,negative
R000177,Trading,Northpeak Trading,phone,positive
R000178,Banking,Halden Savings,ease-of-use,positive
R000179,Travel Booking,Wayfare,attitude-of-staff,negative
R000180,Price Comparison,PricePilot,attitude-of-staff,positive
R000181,Ride Hailing,Swiftly Rides,app-website,negative
R000182,Travel Booking,Wayfare,app-website,positive
R000183,Consulting,Castellan Partners,account-access,negative
R000184,Banking,Kestrel Bank,general-satisfaction,positive
R000185,Fashion,Sable Row,general-satisfaction,negative
R000186,Banking,Kestrel Bank,app-website,positive
R000187,Trading,Quantly,app-website,positive
R000188,Trading,Investa,general-satisfaction,positive
R000189,Groceries,Freshbury,ease-of-use,negative
R000190,Fashion,Marbrook,speed,positive
R000191,Fashion,Marbrook,account-access,neutral
R000192,Fashion,Northerly,speed,positive
R000193,Fashion,Northerly,app-website,positive
R000194,Trading,Investa,app-website,positive
R000195,Groceries,Larkmead Market,ease-of-use,positive
R000196,Price Comparison,CompareHive,attitude-of-staff,positive
R000197,Trading,Northpeak Trading,general-satisfaction,positive
R000198,Travel Booking,Roamly,general-satisfaction,positive
R000199,Fashion,Vella & Co,app-website,positive
R000200,Fashion,Marbrook,general-satisfaction,positive
R000201,Fashion,Northerly,email,positive
R000202,Groceries,Larkmead Market,competitor,negative
R000203,Travel Booking,Trippa,speed,negative
R000204,Trading,Quantly,speed,positive
R000205,Fashion,Vella & Co,general-satisfaction,positive
R000206,Ride Hailing,Zeta Cabs,price-value-for-money,positive
R000207,Price Comparison,CompareHive,app-website,negative
R000208,Banking,Northeast Bank,ease-of-use,negative
R000209,Price Comparison,Tallywise,app-website,positive
R000210,Ride Hailing,Kerbside,email,positive
R000211,Banking,Kestrel Bank,ease-of-use,positive
R000212,Price Comparison,CompareHive,ease-of-use,positive
R000213,Banking,Vanter Financial,app-website,positive
R000214,Price Comparison,PricePilot,phone,positive
R000215,Travel Booking,Journeo,app-website,positive
R000216,Price Comparison,CompareHive,app-website,negative
R000217,Travel Booking,Journeo,general-satisfaction,positive
R000218,Fashion,Marbrook,attitude-of-staff,positive
R000219,Fashion,Sable Row,general-satisfaction,positive
R000220,Groceries,Freshbury,ease-of-use,positive
R000221,Groceries,Freshbury,ease-of-use,negative
R000222,Travel Booking,Wayfare,attitude-of-staff,negative
R000223,Banking,Kestrel Bank,ease-of-use,positive
R000224,Price Comparison,Tallywise,general-satisfaction,positive
R000225,Ride Hailing,Zeta Cabs,attitude-of-staff,negative
R000226,Fashion,Northerly,general-satisfaction,positive
R000227,Travel Booking,Trippa,speed,positive
R000228,Price Comparison,PricePilot,attitude-of-staff,negative
R000229,Banking,Northeast Bank,price-value-for-money,positive
R000230,Groceries,Oakpan Grocers,ease-of-use,negative
R000231,Price Comparison,CompareHive,app-website,positive
R000232,Banking,Halden Savings,speed,positive
R000233,Travel Booking,Roamly,general-satisfaction,positive
R000234,Price Comparison,PricePilot,general-satisfaction,negative
R000235,Fashion,Sable Row,ease-of-use,positive
R000236,Groceries,Freshbury,ease-of-use,positive
R000237,Groceries,Freshbury,ease-of-use,positive
R000238,Ride Hailing,Kerbside,email,negative
R000239,Price Comparison,CompareHive,ease-of-use,positive
R000240,Fashion,Northerly,app-website,positive
R000241,Travel Booking,Journeo,competitor,positive
R000242,Fashion,Northerly,ease-of-use,positive
R000243,Travel Booking,Journeo,general-satisfaction,positive
R000244,Travel Booking,Roamly,ease-of-use,positive
R000245,Price Comparison,Tallywise,attitude-of-staff,positive
R000246,Travel Booking,Trippa,app-website,positive
R000247,Price Comparison,PricePilot,price-value-for-money,positive
R000248,Groceries,Larkmead Market,app-website,positive
R000249,Price Comparison,PricePilot,attitude-of-staff,positive
R000250,Fashion,Northerly,general-satisfaction,positive
R000251,Groceries,Freshbury,general-satisfaction,positive
R000252,Banking,Northeast Bank,price-value-for-money,positive
R000253,Banking,Northeast Bank,app-website,positive
R000254,Fashion,Sable Row,ease-of-use,negative
R000255,Streaming,Lumora,app-website,negative
R000256,Ride Hailing,Swiftly Rides,ease-of-use,negative
R000257,Trading,Northpeak Trading,attitude-of-staff,negative
R000258,Travel Booking,Trippa,email,negative
R000259,Groceries,Freshbury,ease-of-use,positive
R000260,Fashion,Northerly,speed,positive
R000261,Banking,Northeast Bank,competitor,positive
R000262,Travel Booking,Wayfare,ease-of-use,negative
R000263,Travel Booking,Roamly,app-website,negative
R000264,Travel Booking,Journeo,app-website,negative
R000265,Streaming,Lumora,app-website,neutral
R000266,Price Comparison,PricePilot,speed,positive
R000267,Travel Booking,Wayfare,price-value-for-money,positive
R000268,Groceries,Larkmead Market,attitude-of-staff,positive
R000269,Price Comparison,CompareHive,phone,negative
R000270,Price Comparison,PricePilot,competitor,positive
R000271,Trading,Quantly,attitude-of-staff,positive
R000272,Travel Booking,Roamly,general-satisfaction,positive
R000273,Fashion,Vella & Co,attitude-of-staff,positive
R000274,Groceries,Oakpan Grocers,ease-of-use,positive
R000275,Price Comparison,Tallywise,app-website,negative
R000276,Price Comparison,Tallywise,speed,positive
R000277,Fashion,Vella & Co,app-website,positive
R000278,Price Comparison,PricePilot,app-website,positive
R000279,Trading,Quantly,speed,negative
R000280,Price Comparison,CompareHive,price-value-for-money,positive
R000281,Price Comparison,PricePilot,attitude-of-staff,positive
R000282,Trading,Northpeak Trading,phone,negative
R000283,Price Comparison,Tallywise,general-satisfaction,positive
R000284,Groceries,Oakpan Grocers,ease-of-use,negative
R000285,Price Comparison,PricePilot,ease-of-use,positive
R000286,Fashion,Marbrook,attitude-of-staff,positive
R000287,Travel Booking,Wayfare,general-satisfaction,positive
R000288,Travel Booking,Wayfare,ease-of-use,positive
R000289,Fashion,Vella & Co,attitude-of-staff,positive
R000290,Fashion,Northerly,account-access,neutral
R000291,Trading,Quantly,price-value-for-money,positive
R000292,Fashion,Marbrook,ease-of-use,negative
R000293,Groceries,Freshbury,general-satisfaction,positive
R000294,Fashion,Vella & Co,discounts-promotions,negative
R000295,Travel Booking,Wayfare,general-satisfaction,positive
R000296,Trading,Investa,phone,positive
R000297,Ride Hailing,Zeta Cabs,ease-of-use,negative
R000298,Trading,Investa,ease-of-use,positive
R000299,Trading,Quantly,attitude-of-staff,positive
R000300,Groceries,Larkmead Market,ease-of-use,negative
R000301,Fashion,Marbrook,app-website,negative
R000302,Travel Booking,Trippa,app-website,negative
R000303,Groceries,Freshbury,app-website,negative
R000304,Fashion,Northerly,app-website,positive
R000305,Travel Booking,Journeo,attitude-of-staff,negative
R000306,Groceries,Freshbury,general-satisfaction,positive
R000307,Streaming,Pinecast,account-access,neutral
R000308,Fashion,Marbrook,app-website,negative
R000309,Trading,Investa,ease-of-use,positive
R000310,Fashion,Vella & Co,speed,negative
R000311,Price Comparison,PricePilot,attitude-of-staff,positive
R000312,Price Comparison,CompareHive,competitor,positive
R000313,Fashion,Sable Row,speed,positive
R000314,Groceries,Oakpan Grocers,ease-of-use,negative
R000315,Fashion,Sable Row,app-website,positive
R000316,Fashion,Sable Row,general-satisfaction,positive
R000317,Groceries,Oakpan Grocers,price-value-for-money,positive
R000318,Trading,Quantly,app-website,positive
R000319,Price Comparison,CompareHive,ease-of-use,negative
R000320,Trading,Quantly,ease-of-use,positive
R000321,Information Technology,Bluepath Technologies,app-website,neutral
R000322,Banking,Northeast Bank,app-website,negative
R000323,Fashion,Marbrook,general-satisfaction,positive
R000324,Trading,Quantly,attitude-of-staff,positive
R000325,Groceries,Freshbury,ease-of-use,positive
R000326,Ride Hailing,Swiftly Rides,app-website,negative
R000327,Fashion,Vella & Co,speed,negative
R000328,Price Comparison,Tallywise,attitude-of-staff,positive
R000329,Travel Booking,Roamly,reviews,positive
R000330,Information Technology,Corvex IT,account-access,positive
R000331,Travel Booking,Trippa,general-satisfaction,positive
R000332,Banking,Kestrel Bank,speed,positive
R000333,Fashion,Sable Row,ease-of-use,positive
R000334,Fashion,Sable Row,general-satisfaction,negative
R000335,Trading,Quantly,general-satisfaction,positive
R000336,Trading,Northpeak Trading,app-website,positive
R000337,Price Comparison,Tallywise,app-website,negative
R000338,Trading,Investa,app-website,positive
R000339,Price Comparison,PricePilot,price-value-for-money,positive
R000340,Price Comparison,CompareHive,general-satisfaction,positive
R000341,Fashion,Sable Row,attitude-of-staff,negative
R000342,Price Comparison,Tallywise,general-satisfaction,positive
R000343,Fashion,Northerly,app-website,positive
R000344,Trading,Northpeak Trading,general-satisfaction,positive
R000345,Trading,Quantly,speed,negative
R000346,Travel Booking,Wayfare,general-satisfaction,positive
R000347,Banking,Halden Savings,ease-of-use,negative
R000348,Travel Booking,Roamly,general-satisfaction,negative
R000349,Ride Hailing,Kerbside,ease-of-use,neutral
R000350,Groceries,Larkmead Market,ease-of-use,positive
R000351,Travel Booking,Trippa,reviews,positive
R000352,Trading,Northpeak Trading,phone,positive
R000353,Fashion,Sable Row,ease-of-use,positive
R000354,Ride Hailing,Kerbside,app-website,negative
R000355,Price Comparison,Tallywise,app-website,negative
R000356,Banking,Kestrel Bank,ease-of-use,positive
R000357,Groceries,Larkmead Market,app-website,positive
R000358,Price Comparison,PricePilot,discounts-promotions,negative
R000359,Banking,Halden Savings,competitor,positive
R000360,Banking,Halden Savings,ease-of-use,positive
R000361,Banking,Vanter Financial,app-website,positive
R000362,Price Comparison,CompareHive,competitor,negative
R000363,Trading,Quantly,general-satisfaction,positive
R000364,Fashion,Vella & Co,app-website,negative
R000365,Groceries,Larkmead Market,ease-of-use,positive
R000366,Fashion,Marbrook,ease-of-use,negative
R000367,Travel Booking,Trippa,competitor,positive
R000368,Groceries,Larkmead Market,app-website,positive
R000369,Price Comparison,CompareHive,price-value-for-money,negative
R000370,Price Comparison,Tallywise,speed,positive
R000371,Price Comparison,CompareHive,ease-of-use,positive
R000372,Trading,Northpeak Trading,general-satisfaction,positive
R000373,Ride Hailing,Swiftly Rides,attitude-of-staff,negative
R000374,Travel Booking,Trippa,email,negative
R000375,Fashion,Sable Row,attitude-of-staff,negative
R000376,Banking,Vanter Financial,account-access,negative
R000377,Fashion,Marbrook,general-satisfaction,negative
R000378,Fashion,Northerly,speed,positive
R000379,Fashion,Sable Row,app-website,positive
R000380,Price Comparison,PricePilot,price-value-for-money,positive
R000381,Fashion,Vella & Co,app-website,positive
R000382,Travel Booking,Roamly,reviews,positive
R000383,Price Comparison,CompareHive,app-website,positive
R000384,Banking,Kestrel Bank,ease-of-use,positive
R000385,Fashion,Sable Row,app-website,positive
R000386,Travel Booking,Journeo,general-satisfaction,negative
R000387,Fashion,Northerly,ease-of-use,positive
R000388,Travel Booking,Trippa,account-access,negative
R000389,Price Comparison,Tallywise,attitude-of-staff,positive
R000390,Trading,Investa,ease-of-use,positive
R000391,Fashion,Sable Row,general-satisfaction,positive
R000392,Travel Booking,Wayfare,email,negative
R000393,Ride Hailing,Zeta Cabs,app-website,positive
R000394,Banking,Vanter Financial,general-satisfaction,negative
R000395,Travel Booking,Trippa,price-value-for-money,positive
R000396,Trading,Quantly,ease-of-use,neutral
R000397,Groceries,Freshbury,app-website,negative
R000398,Fashion,Sable Row,app-website,positive
R000399,Ride Hailing,Swiftly Rides,price-value-for-money,negative
R000400,Price Comparison,PricePilot,attitude-of-staff,positive
R000401,Price Comparison,CompareHive,price-value-for-money,positive
R000402,Groceries,Freshbury,app-website,positive
R000403,Travel Booking,Journeo,discounts-promotions,negative
R000404,Travel Booking,Journeo,app-website,positive
R000405,Price Comparison,CompareHive,phone,positive
R000406,Fashion,Vella & Co,price-value-for-money,negative
R000407,Fashion,Marbrook,app-website,positive
R000408,Travel Booking,Trippa,app-website,positive
R000409,Price Comparison,PricePilot,general-satisfaction,positive
R000410,Travel Booking,Roamly,general-satisfaction,positive
R000411,Fashion,Sable Row,general-satisfaction,negative
R000412,Price Comparison,Tallywise,attitude-of-staff,positive
R000413,Price Comparison,CompareHive,general-satisfaction,negative
R000414,Banking,Northeast Bank,app-website,neutral
R000415,Trading,Investa,phone,negative
R000416,Groceries,Oakpan Grocers,ease-of-use,negative
R000417,Fashion,Northerly,speed,positive
R000418,Groceries,Larkmead Market,app-website,positive
R000419,Trading,Quantly,app-website,positive
R000420,Price Comparison,Tallywise,attitude-of-staff,positive
R000421,Groceries,Oakpan Grocers,competitor,positive
R000422,Fashion,Marbrook,app-website,positive
R000423,Fashion,Marbrook,app-website,negative
R000424,Fashion,Vella & Co,attitude-of-staff,negative
R000425,Fashion,Vella & Co,app-website,negative
R000426,Groceries,Larkmead Market,general-satisfaction,negative
R000427,Travel Booking,Journeo,app-website,positive
R000428,Travel Booking,Wayfare,app-website,positive
R000429,Banking,Kestrel Bank,price-value-for-money,positive
R000430,Banking,Vanter Financial,competitor,positive
R000431,Trading,Quantly,ease-of-use,positive
R000432,Travel Booking,Trippa,price-value-for-money,positive
R000433,Travel Booking,Roamly,general-satisfaction,positive
R000434,Fashion,Marbrook,app-website,positive
R000435,Price Comparison,Tallywise,price-value-for-money,positive
R000436,Trading,Investa,app-website,negative
R000437,Fashion,Marbrook,attitude-of-staff,positive
R000438,Travel Booking,Wayfare,attitude-of-staff,negative
R000439,Trading,Investa,attitude-of-staff,positive
R000440,Trading,Quantly,speed,positive
R000441,Groceries,Larkmead Market,general-satisfaction,negative
R000442,Fashion,Vella & Co,competitor,positive
R000443,Trading,Quantly,general-satisfaction,positive
R000444,Information Technology,Bluepath Technologies,app-website,neutral
R000445,Price Comparison,PricePilot,price-value-for-money,positive
R000446,Fashion,Vella & Co,phone,negative
R000447,Price Comparison,Tallywise,price-value-for-money,positive
R000448,Travel Booking,Journeo,competitor,positive
R000449,Travel Booking,Wayfare,general-satisfaction,positive
R000450,Banking,Kestrel Bank,app-website,positive
R000451,Information Technology,Corvex IT,account-access,negative
R000452,Fashion,Vella & Co,general-satisfaction,positive
R000453,Trading,Quantly,ease-of-use,positive
R000454,Trading,Investa,general-satisfaction,negative
R000455,Fashion,Sable Row,app-website,positive
R000456,Travel Booking,Roamly,app-website,negative
R000457,Fashion,Sable Row,discounts-promotions,negative
R000458,Travel Booking,Journeo,general-satisfaction,positive
R000459,Banking,Vanter Financial,general-satisfaction,positive
R000460,Price Comparison,PricePilot,attitude-of-staff,positive
R000461,Fashion,Sable Row,ease-of-use,positive
R000462,Fashion,Northerly,general-satisfaction,positive
R000463,Fashion,Northerly,general-satisfaction,positive
R000464,Groceries,Freshbury,account-access,negative
R000465,Groceries,Larkmead Market,price-value-for-money,positive
R000466,Travel Booking,Roamly,general-satisfaction,positive
R000467,Travel Booking,Journeo,general-satisfaction,positive
R000468,Trading,Northpeak Trading,app-website,positive
R000469,Fashion,Sable Row,general-satisfaction,positive
R000470,Price Comparison,CompareHive,general-satisfaction,positive
R000471,Price Comparison,CompareHive,price-value-for-money,positive
R000472,Trading,Quantly,ease-of-use,positive
R000473,Fashion,Marbrook,general-satisfaction,negative
R000474,Price Comparison,PricePilot,attitude-of-staff,positive
R000475,Price Comparison,CompareHive,competitor,positive
R000476,Price Comparison,CompareHive,ease-of-use,positive
R000477,Groceries,Freshbury,ease-of-use,positive
R000478,Fashion,Northerly,price-value-for-money,positive
R000479,Trading,Quantly,app-website,positive
R000480,Groceries,Freshbury,general-satisfaction,negative
R000481,Fashion,Marbrook,speed,positive
R000482,Trading,Quantly,account-access,negative
R000483,Price Comparison,CompareHive,ease-of-use,positive
R000484,Fashion,Northerly,general-satisfaction,positive
R000485,Trading,Northpeak Trading,general-satisfaction,positive
R000486,Banking,Vanter Financial,general-satisfaction,negative
R000487,Price Comparison,PricePilot,competitor,positive
R000488,Fashion,Marbrook,attitude-of-staff,positive
R000489,Fashion,Vella & Co,general-satisfaction,positive
R000490,Fashion,Sable Row,general-satisfaction,positive
R000491,Fashion,Vella & Co,speed,positive
R000492,Travel Booking,Wayfare,competitor,positive
R000493,Fashion,Vella & Co,speed,positive
R000494,Price Comparison,PricePilot,ease-of-use,positive
R000495,Groceries,Freshbury,ease-of-use,negative
R000496,Fashion,Sable Row,general-satisfaction,positive
R000497,Information Technology,Corvex IT,app-website,positive
R000498,Price Comparison,PricePilot,general-satisfaction,positive
R000499,Groceries,Freshbury,ease-of-use,positive
R000500,Travel Booking,Journeo,app-website,positive
R000501,Fashion,Sable Row,app-website,negative
R000502,Price Comparison,PricePilot,competitor,positive
R000503,Travel Booking,Roamly,ease-of-use,positive
R000504,Fashion,Sable Row,ease-of-use,positive
R000505,Streaming,Lumora,account-access,negative
R000506,Fashion,Sable Row,general-satisfaction,positive
R000507,Fashion,Northerly,phone,positive
R000508,Groceries,Oakpan Grocers,ease-of-use,positive
R000509,Banking,Kestrel Bank,competitor,positive
R000510,Travel Booking,Journeo,app-website,negative
R000511,Price Comparison,Tallywise,app-website,negative
R000512,Travel Booking,Journeo,app-website,negative
R000513,Price Comparison,PricePilot,app-website,positive
R000514,Ride Hailing,Zeta Cabs,app-website,positive
R000515,Price Comparison,PricePilot,competitor,negative
R000516,Travel Booking,Roamly,ease-of-use,positive
R000517,Price Comparison,Tallywise,general-satisfaction,positive
R000518,Information Technology,Ardent Systems,account-access,negative
R000519,Price Comparison,PricePilot,attitude-of-staff,positive
R000520,Banking,Northeast Bank,speed,negative
R000521,Price Comparison,CompareHive,general-satisfaction,positive
R000522,Trading,Northpeak Trading,general-satisfaction,positive
R000523,Fashion,Sable Row,ease-of-use,negative
R000524,Price Comparison,PricePilot,ease-of-use,positive
R000525,Fashion,Marbrook,app-website,positive
R000526,Trading,Investa,competitor,positive
R000527,Price Comparison,PricePilot,speed,positive
R000528,Fashion,Northerly,speed,positive
R000529,Information Technology,Corvex IT,account-access,negative
R000530,Price Comparison,PricePilot,attitude-of-staff,positive
R000531,Fashion,Northerly,speed,positive
R000532,Trading,Quantly,speed,negative
R000533,Price Comparison,CompareHive,ease-of-use,positive
R000534,Banking,Kestrel Bank,attitude-of-staff,negative
R000535,Banking,Halden Savings,ease-of-use,positive
R000536,Fashion,Northerly,app-website,positive
R000537,Price Comparison,CompareHive,app-website,positive
R000538,Price Comparison,Tallywise,price-value-for-money,positive
R000539,Price Comparison,CompareHive,app-website,negative
R000540,Travel Booking,Roamly,reviews,positive
R000541,Travel Booking,Trippa,general-satisfaction,negative
R000542,Price Comparison,CompareHive,competitor,negative
R000543,Fashion,Northerly,app-website,negative
R000544,Trading,Northpeak Trading,app-website,positive
R000545,Groceries,Freshbury,speed,positive
R000546,Price Comparison,Tallywise,app-website,positive
R000547,Price Comparison,Tallywise,price-value-for-money,negative
R000548,Banking,Halden Savings,speed,positive
R000549,Ride Hailing,Kerbside,email,negative
R000550,Trading,Quantly,app-website,positive
R000551,Fashion,Sable Row,speed,positive
R000552,Fashion,Marbrook,discounts-promotions,negative
R000553,Groceries,Oakpan Grocers,account-access,neutral
R000554,Trading,Investa,account-access,negative
R000555,Streaming,Lumora,account-access,neutral
R000556,Fashion,Marbrook,speed,positive
R000557,Groceries,Larkmead Market,price-value-for-money,positive
R000558,Fashion,Marbrook,speed,positive
R000559,Trading,Northpeak Trading,speed,negative
R000560,Consulting,Alderline Advisory,account-access,neutral
R000561,Groceries,Freshbury,attitude-of-staff,negative
