id,org_index,data_source,industry,text,parent_aspect,child_aspect,sentiment
301979193,616,Apple Store,Fashion,"Not all reviews are showing. When it says: this article has 42 reviews, only 2 or sometimes none are showing. Clothes are categorized messy which results in missing items when filtering.",company-brand,reviews,negative
301979193,616,Apple Store,Fashion,"Not all reviews are showing. When it says: this article has 42 reviews, only 2 or sometimes none are showing. Clothes are categorized messy which results in missing items when filtering.",online-experience,app-website,negative
301972213,600,Trustpilot,Price Comparison,very easy to use site and got best deal,purchase-booking-experience,ease-of-use,positive
301972213,600,Trustpilot,Price Comparison,very easy to use site and got best deal,online-experience,app-website,positive
301972213,600,Trustpilot,Price Comparison,very easy to use site and got best deal,value,price-value-for-money,positive
301984266,549,Google Play,Travel Booking,"Very useful, especially when you want to try new locations to you and want to understand if it's worth it. Also great as an outlet point when something really is wrong",company-brand,general-satisfaction,positive
301988812,727,Google Play,Fashion,"Great service, easy returns, friendly people.",staff-support,attitude-of-staff,positive
301988812,727,Google Play,Fashion,"Great service, easy returns, friendly people.",purchase-booking-experience,ease-of-use,positive
301988812,727,Google Play,Fashion,"Great service, easy returns, friendly people.",company-brand,general-satisfaction,positive
301983615,411,Google Play,Groceries,great app well done,online-experience,app-website,positive
301978802,616,Apple Store,Fashion,Very clear,purchase-booking-experience,ease-of-use,positive
301987981,727,Google Play,Fashion,Always great! Whether app or a person.,online-experience,app-website,positive
301987981,727,Google Play,Fashion,Always great! Whether app or a person.,company-brand,general-satisfaction,positive
301980748,369,Google Play,Ride Hailing,My cellphone was stolen,company-brand,general-satisfaction,negative
301978518,549,Apple Store,Travel Booking,"Have used ORG549 for years, love the perks of free nights and ease of booking. Check reviews and on other sites like ORG160 as the rating is not always correct. We have had one or two disappointments but overall love this app.",value,discounts-promotions,positive
301978518,549,Apple Store,Travel Booking,"Have used ORG549 for years, love the perks of free nights and ease of booking. Check reviews and on other sites like ORG160 as the rating is not always correct. We have had one or two disappointments but overall love this app.",company-brand,reviews,negative
301978518,549,Apple Store,Travel Booking,"Have used ORG549 for years, love the perks of free nights and ease of booking. Check reviews and on other sites like ORG160 as the rating is not always correct. We have had one or two disappointments but overall love this app.",online-experience,app-website,positive
301972776,600,Trustpilot,Price Comparison,"Brilliant, saved me a grand on car insurance",company-brand,general-satisfaction,positive
301972776,600,Trustpilot,Price Comparison,"Brilliant, saved me a grand on car insurance",value,price-value-for-money,positive
301985269,727,Google Play,Fashion,Easy to use,purchase-booking-experience,ease-of-use,positive
301986668,685,Google Play,Trading,Very easy to act. Registration is quick. I'm very enthusiastic. There could be a little more stock market news.,purchase-booking-experience,ease-of-use,positive
301986668,685,Google Play,Trading,Very easy to act. Registration is quick. I'm very enthusiastic. There could be a little more stock market news.,account-management,account-access,positive
301982712,411,Google Play,Groceries,"Can't register, does not recognise my preferences. Keeps on crashing, telling me, oops there is something wrong. Please fix this.",account-management,account-access,negative
301982712,411,Google Play,Groceries,"Can't register, does not recognise my preferences. Keeps on crashing, telling me, oops there is something wrong. Please fix this.",online-experience,app-website,negative
301977112,411,Apple Store,Groceries,"I always use the home delivery service or the click and collect service as my disability stops me from pushing a trolley, I can always take my time and I never feel rushed! Thank you ORG154!",company-brand,general-satisfaction,positive
301982692,411,Google Play,Groceries,"Much improved over the last six months, no issues, glitches, or tiresome frequent updates like other apps.",online-experience,app-website,positive
301982692,411,Google Play,Groceries,"Much improved over the last six months, no issues, glitches, or tiresome frequent updates like other apps.",company-brand,competitor,positive
301980773,369,Google Play,Ride Hailing,Did not trick me,company-brand,general-satisfaction,negative
301972627,600,Trustpilot,Price Comparison,"I always relay on ORG600 for all my needs,always found it very helpful.",company-brand,general-satisfaction,positive
301986273,616,Google Play,Fashion,Unclear navigation among promotions,purchase-booking-experience,ease-of-use,negative
301986273,616,Google Play,Fashion,Unclear navigation among promotions,value,discounts-promotions,negative
301986699,685,Google Play,Trading,Quick and easy to use.,purchase-booking-experience,ease-of-use,positive
301986699,685,Google Play,Trading,Quick and easy to use.,logistics-rides,speed,positive
301972849,600,Trustpilot,Price Comparison,Quick and  very cheep definitely. I got also very quickly all answer. Thanks,value,price-value-for-money,positive
301972849,600,Trustpilot,Price Comparison,Quick and  very cheep definitely. I got also very quickly all answer. Thanks,logistics-rides,speed,positive
301981006,369,Google Play,Ride Hailing,the shared race option does not appear for me! because?,online-experience,app-website,negative
301981006,369,Google Play,Ride Hailing,the shared race option does not appear for me! because?,purchase-booking-experience,ease-of-use,negative
301972110,600,Trustpilot,Price Comparison,"I have just finished a call with Lorraine at ORG600  , after spending   two days trying to get to talk to someone at British Gas a waste of time. Then i was told try ORG600 ,which i did my word what change Lorraine answered the phone, her attitude bright positive, intelligent,  a few questions, and she understood what i was looking for, and then guided me through the renewal of my Gas & Electricity contract, with such clarity and knowledge and a saving of more than ¬£250 pounds, Thank you Lorraine.               sincerely Pauline Friend",staff-support,attitude-of-staff,positive
301972110,600,Trustpilot,Price Comparison,"I have just finished a call with Lorraine at ORG600  , after spending   two days trying to get to talk to someone at British Gas a waste of time. Then i was told try ORG600 ,which i did my word what change Lorraine answered the phone, her attitude bright positive, intelligent,  a few questions, and she understood what i was looking for, and then guided me through the renewal of my Gas & Electricity contract, with such clarity and knowledge and a saving of more than ¬£250 pounds, Thank you Lorraine.               sincerely Pauline Friend",value,price-value-for-money,positive
301972110,600,Trustpilot,Price Comparison,"I have just finished a call with Lorraine at ORG600  , after spending   two days trying to get to talk to someone at British Gas a waste of time. Then i was told try ORG600 ,which i did my word what change Lorraine answered the phone, her attitude bright positive, intelligent,  a few questions, and she understood what i was looking for, and then guided me through the renewal of my Gas & Electricity contract, with such clarity and knowledge and a saving of more than ¬£250 pounds, Thank you Lorraine.               sincerely Pauline Friend",company-brand,competitor,positive
301983399,411,Google Play,Groceries,"Since installing update today, it won't open. Just hangs and has to be crashed out/force stop to close it. 31/10/19: App keeps telling me it must be updated (old v no longer supported) but there is no update available on ORG57 Play",online-experience,app-website,negative
301988464,727,Google Play,Fashion,The app is great for fast and easy check out's. It also keeps track of any rewards you may have.,value,discounts-promotions,positive
301988464,727,Google Play,Fashion,The app is great for fast and easy check out's. It also keeps track of any rewards you may have.,purchase-booking-experience,ease-of-use,positive
301988464,727,Google Play,Fashion,The app is great for fast and easy check out's. It also keeps track of any rewards you may have.,online-experience,app-website,positive
301988464,727,Google Play,Fashion,The app is great for fast and easy check out's. It also keeps track of any rewards you may have.,logistics-rides,speed,positive
301971942,600,Trustpilot,Price Comparison,"I really can not recommend these guys enough, they are always far cheaper than any other comparison site, they give free toys and cinema tickets....what more could you want 😊 if you need help with anything....which I did this week.... their customer service is fantastic 👍",staff-support,attitude-of-staff,positive
301971942,600,Trustpilot,Price Comparison,"I really can not recommend these guys enough, they are always far cheaper than any other comparison site, they give free toys and cinema tickets....what more could you want 😊 if you need help with anything....which I did this week.... their customer service is fantastic 👍",company-brand,general-satisfaction,positive
301971942,600,Trustpilot,Price Comparison,"I really can not recommend these guys enough, they are always far cheaper than any other comparison site, they give free toys and cinema tickets....what more could you want 😊 if you need help with anything....which I did this week.... their customer service is fantastic 👍",value,price-value-for-money,positive
301971942,600,Trustpilot,Price Comparison,"I really can not recommend these guys enough, they are always far cheaper than any other comparison site, they give free toys and cinema tickets....what more could you want 😊 if you need help with anything....which I did this week.... their customer service is fantastic 👍",company-brand,competitor,positive
301974349,685,Trustpilot,Trading,"Very reliable withdrawals, great customer service",staff-support,attitude-of-staff,positive
301974349,685,Trustpilot,Trading,"Very reliable withdrawals, great customer service",purchase-booking-experience,ease-of-use,positive
301983023,411,Google Play,Groceries,Easy to use and to find products,purchase-booking-experience,ease-of-use,positive
301983023,411,Google Play,Groceries,Easy to use and to find products,online-experience,app-website,positive
301982361,727,Google Play,Fashion,Easy to use,purchase-booking-experience,ease-of-use,positive
301973353,616,Trustpilot,Fashion,"The request has been a disaster. I ordered two blazers of size L, one pink and one black. The rose has come stained, and the black has sent me a size M.",company-brand,general-satisfaction,negative
301978429,549,Apple Store,Travel Booking,"This app is really great, fast and efficient, you get ticket at really low price and lots more option as well ......",online-experience,app-website,positive
301978429,549,Apple Store,Travel Booking,"This app is really great, fast and efficient, you get ticket at really low price and lots more option as well ......",logistics-rides,speed,positive
214142507,932,Google Play,Banking,How do I check my app and card password if I forgot?,online-experience,app-website,neutral
301978857,616,Apple Store,Fashion,Love the ORG616 👍,company-brand,general-satisfaction,positive
301986730,685,Google Play,Trading,Friday morning 9:30am update there system. Not good would not recommend. Lost my could not buy or sell.,online-experience,app-website,negative
301981820,514,Google Play,Banking,"When it works. No issue. Support is here for you. As soon as you have issue. Support gone. Stuck at looking up for an angent...forum is useless, no reply from ORG514 team. Social media useless, no reply. Cant eve call to adress the issue. If i wont get reply and my salary reviewed I'm going to switch banks. I don't need to waste nerves, days or week for baisic supporr functions. Not to mention I'm premium user..",staff-support,attitude-of-staff,negative
301981820,514,Google Play,Banking,"When it works. No issue. Support is here for you. As soon as you have issue. Support gone. Stuck at looking up for an angent...forum is useless, no reply from ORG514 team. Social media useless, no reply. Cant eve call to adress the issue. If i wont get reply and my salary reviewed I'm going to switch banks. I don't need to waste nerves, days or week for baisic supporr functions. Not to mention I'm premium user..",company-brand,reviews,negative
301981820,514,Google Play,Banking,"When it works. No issue. Support is here for you. As soon as you have issue. Support gone. Stuck at looking up for an angent...forum is useless, no reply from ORG514 team. Social media useless, no reply. Cant eve call to adress the issue. If i wont get reply and my salary reviewed I'm going to switch banks. I don't need to waste nerves, days or week for baisic supporr functions. Not to mention I'm premium user..",staff-support,phone,negative
575216592,5827,Apple Store,Consulting,How do I get my ORG5827 account?,account-management,account-access,neutral
301984101,549,Google Play,Travel Booking,"Awesome app, very helpful",online-experience,app-website,positive
301972230,600,Trustpilot,Price Comparison,I was treated as a valued customer by a charming lady who made all the salient points clearly and concisely.  She treated me with respect and humour which was lovely.  Five star service all round.,staff-support,attitude-of-staff,positive
301972230,600,Trustpilot,Price Comparison,I was treated as a valued customer by a charming lady who made all the salient points clearly and concisely.  She treated me with respect and humour which was lovely.  Five star service all round.,company-brand,general-satisfaction,positive
301984221,685,Google Play,Trading,Quick and easy to use.,purchase-booking-experience,ease-of-use,positive
301984221,685,Google Play,Trading,Quick and easy to use.,logistics-rides,speed,positive
301972961,600,Trustpilot,Price Comparison,"Friendly, easy to use, and saved nearly two thirds on the renewal quote my regular insurer gave me.",purchase-booking-experience,ease-of-use,positive
301972961,600,Trustpilot,Price Comparison,"Friendly, easy to use, and saved nearly two thirds on the renewal quote my regular insurer gave me.",value,price-value-for-money,positive
301986743,685,Google Play,Trading,Awesome. Really useable app.👍,online-experience,app-website,positive
301986743,685,Google Play,Trading,Awesome. Really useable app.👍,company-brand,general-satisfaction,positive
301977682,411,Apple Store,Groceries,Basket doesn’t save and empties out at times,online-experience,app-website,negative
301979745,727,Apple Store,Fashion,I pair 2 ORG7 dunk low in ORG727 online “ so hot “. Okey. I get confirmation order code first. So a hour then canceled all orders. Why ?  So bad. I deleted acc and never use servicer ORG727.,online-experience,app-website,negative
301979745,727,Apple Store,Fashion,I pair 2 ORG7 dunk low in ORG727 online “ so hot “. Okey. I get confirmation order code first. So a hour then canceled all orders. Why ?  So bad. I deleted acc and never use servicer ORG727.,purchase-booking-experience,ease-of-use,negative
301979745,727,Apple Store,Fashion,I pair 2 ORG7 dunk low in ORG727 online “ so hot “. Okey. I get confirmation order code first. So a hour then canceled all orders. Why ?  So bad. I deleted acc and never use servicer ORG727.,company-brand,general-satisfaction,negative
301983190,411,Google Play,Groceries,"pointless. didn't work, was told to keep receipt and add points another time.",purchase-booking-experience,ease-of-use,negative
301983190,411,Google Play,Groceries,"pointless. didn't work, was told to keep receipt and add points another time.",value,discounts-promotions,negative
301978154,549,Apple Store,Travel Booking,It’s hard to review under three stars (the dining facilities). But you gotta do it.,company-brand,reviews,negative
301980488,369,Google Play,Ride Hailing,"ORG369 came to be an alternative to the user. Needs dev regulation. It absorbed large labor, taking many people out of unemployment, underemployment. You need to evaluate and empower your employees.",company-brand,general-satisfaction,negative
301980480,369,Google Play,Ride Hailing,"the service charge of the app is doing it in dollars and this is generating more expense when paying my account, because the conversion to Chilean pesos has to be done.",purchase-booking-experience,ease-of-use,negative
301980480,369,Google Play,Ride Hailing,"the service charge of the app is doing it in dollars and this is generating more expense when paying my account, because the conversion to Chilean pesos has to be done.",online-experience,app-website,negative
301980480,369,Google Play,Ride Hailing,"the service charge of the app is doing it in dollars and this is generating more expense when paying my account, because the conversion to Chilean pesos has to be done.",value,price-value-for-money,negative
574211809,5827,Apple Store,Consulting,I want to sign up for an account,account-management,account-access,neutral
301983039,411,Google Play,Groceries,I don't like the new logo its ugly and boring bring back the blue background one and I will vote again IF THE DARK BLUE ONE ISN'T BROUGHT BACK BY SEPTEMBER 10TH 2019 I WILL UNINSTALL THE APPLICATION I HATE UGLY LOGOS! THEN I'M UNINSTALLING FORTHWITH AND USING ANOTHER CHEMIST TO OBTAIN MY NUMEROUS MEDICINES (14) AND ALL OTHER PURCHASES I DON'T LIKE ARROGANCE!,online-experience,app-website,negative
301984641,549,Google Play,Travel Booking,"Good ,& easy!",purchase-booking-experience,ease-of-use,positive
301984641,549,Google Play,Travel Booking,"Good ,& easy!",company-brand,general-satisfaction,positive
301973405,616,Trustpilot,Fashion,"Delivery okay, the days indicated correspond to the delivery day. By cons the product is not cut for me, yet I am used to taking this kind of pants. The pants are too large / wide. The fabric is thinner than it looks suddenly it is a little transparent. Too bad. This kind of fabrics corresponds for the morphologies having no hips.",logistics-rides,speed,positive
301973405,616,Trustpilot,Fashion,"Delivery okay, the days indicated correspond to the delivery day. By cons the product is not cut for me, yet I am used to taking this kind of pants. The pants are too large / wide. The fabric is thinner than it looks suddenly it is a little transparent. Too bad. This kind of fabrics corresponds for the morphologies having no hips.",company-brand,general-satisfaction,negative
301971710,600,Trustpilot,Price Comparison,"Tried to insure my ASTRA. ORG600 had an acceptable quote. But when I tried to accept it, the system stalled and I could not proceed. Had to look around and ended with a insurer with a much more straightforward process. Car insured in minutes. Quotes from ORG600 no longer expected - then arrived hours too late. Their loss.",online-experience,app-website,negative
301971710,600,Trustpilot,Price Comparison,"Tried to insure my ASTRA. ORG600 had an acceptable quote. But when I tried to accept it, the system stalled and I could not proceed. Had to look around and ended with a insurer with a much more straightforward process. Car insured in minutes. Quotes from ORG600 no longer expected - then arrived hours too late. Their loss.",purchase-booking-experience,ease-of-use,negative
301971710,600,Trustpilot,Price Comparison,"Tried to insure my ASTRA. ORG600 had an acceptable quote. But when I tried to accept it, the system stalled and I could not proceed. Had to look around and ended with a insurer with a much more straightforward process. Car insured in minutes. Quotes from ORG600 no longer expected - then arrived hours too late. Their loss.",company-brand,competitor,negative
301986912,727,Google Play,Fashion,easy to use,purchase-booking-experience,ease-of-use,positive
301980952,369,Google Play,Ride Hailing,It has problems when I want to use ORG369 pre credits.,purchase-booking-experience,ease-of-use,negative
327114716,3887,Google Play,Streaming,I have free ORG3887 2 years,value,discounts-promotions,neutral
301977274,411,Apple Store,Groceries,The app used to be exactly what was needed but for the last few weeks any time I add an item from the favourites list it jumps right back to the beginning. Also occasionally placing items in a different order. Very frustrating and time consuming. Not the service I expect or am used to from ORG411. Sort it out please!!!,online-experience,app-website,negative
301977274,411,Apple Store,Groceries,The app used to be exactly what was needed but for the last few weeks any time I add an item from the favourites list it jumps right back to the beginning. Also occasionally placing items in a different order. Very frustrating and time consuming. Not the service I expect or am used to from ORG411. Sort it out please!!!,company-brand,general-satisfaction,negative
301979142,616,Apple Store,Fashion,Now the estimated delivery time,logistics-rides,speed,positive
301988591,727,Google Play,Fashion,Awesome app,online-experience,app-website,positive
301972678,600,Trustpilot,Price Comparison,Excellent service from ORG600. Preya was fantastic and so helpful. Would recommend to everyone!,staff-support,attitude-of-staff,positive
301972678,600,Trustpilot,Price Comparison,Excellent service from ORG600. Preya was fantastic and so helpful. Would recommend to everyone!,company-brand,general-satisfaction,positive
301980692,369,Google Play,Ride Hailing,The price varies a lot when it is the same distance. I think I should not know if they should have a flat rate if a passenger comes and goes every day from the same place,value,price-value-for-money,negative
301985678,616,Google Play,Fashion,"A good site, only take an order for a long time",online-experience,app-website,positive
301981360,514,Google Play,Banking,Simple to use. Excellent,purchase-booking-experience,ease-of-use,positive
301981360,514,Google Play,Banking,Simple to use. Excellent,company-brand,general-satisfaction,positive
301972173,600,Trustpilot,Price Comparison,Changing Energy Suoplier was made easy with Beth's help. She answered all my queries quickly and efficiently. She went on to make the Switch easy in a very efficient and patient way. Would certainly use again!,staff-support,attitude-of-staff,positive
301972173,600,Trustpilot,Price Comparison,Changing Energy Suoplier was made easy with Beth's help. She answered all my queries quickly and efficiently. She went on to make the Switch easy in a very efficient and patient way. Would certainly use again!,purchase-booking-experience,ease-of-use,positive
301987477,685,Google Play,Trading,It's amazing that's not saying you will have good luck on it but it has a smooth interface and works very well,purchase-booking-experience,ease-of-use,positive
301987477,685,Google Play,Trading,It's amazing that's not saying you will have good luck on it but it has a smooth interface and works very well,online-experience,app-website,positive
301985262,600,Google Play,Price Comparison,Fantastic for switching energy and tracking it's progress,company-brand,general-satisfaction,positive
301972075,600,Trustpilot,Price Comparison,"Spoke with Nicola Hood today and switched energy supplies. I find energy suppliers ""lingo"" daunting and confusing but Nicola made this process an absolute breeze. Because of her I am now saving almost £300 a year! She was an absolute star!!!! Thank you Nicola",staff-support,attitude-of-staff,positive
301972075,600,Trustpilot,Price Comparison,"Spoke with Nicola Hood today and switched energy supplies. I find energy suppliers ""lingo"" daunting and confusing but Nicola made this process an absolute breeze. Because of her I am now saving almost £300 a year! She was an absolute star!!!! Thank you Nicola",purchase-booking-experience,ease-of-use,positive
301972075,600,Trustpilot,Price Comparison,"Spoke with Nicola Hood today and switched energy supplies. I find energy suppliers ""lingo"" daunting and confusing but Nicola made this process an absolute breeze. Because of her I am now saving almost £300 a year! She was an absolute star!!!! Thank you Nicola",value,price-value-for-money,positive
301986025,616,Google Play,Fashion,Love ORG616 💞,company-brand,general-satisfaction,positive
301984150,549,Google Play,Travel Booking,"App goes well to find the packages, but when it's time to close, there's no option to install the purchase on the card.",online-experience,app-website,positive
301984150,549,Google Play,Travel Booking,"App goes well to find the packages, but when it's time to close, there's no option to install the purchase on the card.",purchase-booking-experience,ease-of-use,negative
301982193,514,Google Play,Banking,Expensive. Impossible close account!,staff-support,attitude-of-staff,negative
301982193,514,Google Play,Banking,Expensive. Impossible close account!,account-management,account-access,negative
301982193,514,Google Play,Banking,Expensive. Impossible close account!,value,price-value-for-money,negative
301981072,369,Google Play,Ride Hailing,I loved it and super quiet,company-brand,general-satisfaction,positive
301978804,616,Apple Store,Fashion,I’ve never seen worse applications than an online store,online-experience,app-website,negative
301978804,616,Apple Store,Fashion,I’ve never seen worse applications than an online store,company-brand,competitor,negative
301981697,514,Google Play,Banking,Really like the change saving mechanism to encourage saving a little every transaction. Quick visibility of all transactions and no waiting periods like traditional banks.,company-brand,competitor,positive
301981697,514,Google Play,Banking,Really like the change saving mechanism to encourage saving a little every transaction. Quick visibility of all transactions and no waiting periods like traditional banks.,purchase-booking-experience,ease-of-use,positive
301981697,514,Google Play,Banking,Really like the change saving mechanism to encourage saving a little every transaction. Quick visibility of all transactions and no waiting periods like traditional banks.,logistics-rides,speed,positive
301980573,369,Google Play,Ride Hailing,I do not think it's fair to pay for something that was not used,value,price-value-for-money,negative
301985432,600,Google Play,Price Comparison,Errors all the time about about a lack of connection,online-experience,app-website,negative
301973598,616,Trustpilot,Fashion,"I had ordered shoes from ORG616 with the size UK 8 but I received totally different size.  I have received different size of pairs one pair size is UK 6 and another pair size is UK 5 and both of the pairs are for the left leg.  I have contacted ORG616 customer support and asked them for the solution but they want me to return the item. My problem in returning the item is: 1. Covid 19 situation and going to the local post office. 2. Currently I am in country Georgia not in USA and returning the item from here to the ORG616 warehouse in USA is more costly then the item itself. 3. I have to pay the shipping cost which is another additional extra cost for me and wait when the ORG616 will refund the money for shipping (which is higher than the shoes price itself) 4. Wait when the item will be returned in their warehouse which is around a month or 21 working day + Covid 19 situation can make  the wait time longer and after I will receive my money back. 5. All the above mentioned is happening because ORG616 just put totally different size, both pair different sizes and both pair are for the left leg.  I have told all of the above mentioned to the customer support team but their answer is that they are sorry for the happened but they cannot do anything I have to refund the item.   I  will just through this item to the trash because refunding of this item is more complicated and costly than not returning it at all.",staff-support,attitude-of-staff,negative
301973598,616,Trustpilot,Fashion,"I had ordered shoes from ORG616 with the size UK 8 but I received totally different size.  I have received different size of pairs one pair size is UK 6 and another pair size is UK 5 and both of the pairs are for the left leg.  I have contacted ORG616 customer support and asked them for the solution but they want me to return the item. My problem in returning the item is: 1. Covid 19 situation and going to the local post office. 2. Currently I am in country Georgia not in USA and returning the item from here to the ORG616 warehouse in USA is more costly then the item itself. 3. I have to pay the shipping cost which is another additional extra cost for me and wait when the ORG616 will refund the money for shipping (which is higher than the shoes price itself) 4. Wait when the item will be returned in their warehouse which is around a month or 21 working day + Covid 19 situation can make  the wait time longer and after I will receive my money back. 5. All the above mentioned is happening because ORG616 just put totally different size, both pair different sizes and both pair are for the left leg.  I have told all of the above mentioned to the customer support team but their answer is that they are sorry for the happened but they cannot do anything I have to refund the item.   I  will just through this item to the trash because refunding of this item is more complicated and costly than not returning it at all.",purchase-booking-experience,ease-of-use,negative
301973598,616,Trustpilot,Fashion,"I had ordered shoes from ORG616 with the size UK 8 but I received totally different size.  I have received different size of pairs one pair size is UK 6 and another pair size is UK 5 and both of the pairs are for the left leg.  I have contacted ORG616 customer support and asked them for the solution but they want me to return the item. My problem in returning the item is: 1. Covid 19 situation and going to the local post office. 2. Currently I am in country Georgia not in USA and returning the item from here to the ORG616 warehouse in USA is more costly then the item itself. 3. I have to pay the shipping cost which is another additional extra cost for me and wait when the ORG616 will refund the money for shipping (which is higher than the shoes price itself) 4. Wait when the item will be returned in their warehouse which is around a month or 21 working day + Covid 19 situation can make  the wait time longer and after I will receive my money back. 5. All the above mentioned is happening because ORG616 just put totally different size, both pair different sizes and both pair are for the left leg.  I have told all of the above mentioned to the customer support team but their answer is that they are sorry for the happened but they cannot do anything I have to refund the item.   I  will just through this item to the trash because refunding of this item is more complicated and costly than not returning it at all.",value,price-value-for-money,negative
301973598,616,Trustpilot,Fashion,"I had ordered shoes from ORG616 with the size UK 8 but I received totally different size.  I have received different size of pairs one pair size is UK 6 and another pair size is UK 5 and both of the pairs are for the left leg.  I have contacted ORG616 customer support and asked them for the solution but they want me to return the item. My problem in returning the item is: 1. Covid 19 situation and going to the local post office. 2. Currently I am in country Georgia not in USA and returning the item from here to the ORG616 warehouse in USA is more costly then the item itself. 3. I have to pay the shipping cost which is another additional extra cost for me and wait when the ORG616 will refund the money for shipping (which is higher than the shoes price itself) 4. Wait when the item will be returned in their warehouse which is around a month or 21 working day + Covid 19 situation can make  the wait time longer and after I will receive my money back. 5. All the above mentioned is happening because ORG616 just put totally different size, both pair different sizes and both pair are for the left leg.  I have told all of the above mentioned to the customer support team but their answer is that they are sorry for the happened but they cannot do anything I have to refund the item.   I  will just through this item to the trash because refunding of this item is more complicated and costly than not returning it at all.",company-brand,general-satisfaction,negative
301979861,727,Apple Store,Fashion,"Very easy to use, great benefits as well!",value,discounts-promotions,positive
301979861,727,Apple Store,Fashion,"Very easy to use, great benefits as well!",purchase-booking-experience,ease-of-use,positive
327207442,3887,Google Play,Streaming,I'm downloading it now.,online-experience,app-website,neutral
301982196,514,Google Play,Banking,Terrible especially with the chat box if you are stuck that's it,staff-support,attitude-of-staff,negative
301982196,514,Google Play,Banking,Terrible especially with the chat box if you are stuck that's it,online-experience,app-website,negative
301988238,727,Google Play,Fashion,GREAT DEALS! GOOD QUALITY! EASY APP! ORG727 ROCKS!!!,purchase-booking-experience,ease-of-use,positive
301988238,727,Google Play,Fashion,GREAT DEALS! GOOD QUALITY! EASY APP! ORG727 ROCKS!!!,online-experience,app-website,positive
301988238,727,Google Play,Fashion,GREAT DEALS! GOOD QUALITY! EASY APP! ORG727 ROCKS!!!,company-brand,general-satisfaction,positive
301988238,727,Google Play,Fashion,GREAT DEALS! GOOD QUALITY! EASY APP! ORG727 ROCKS!!!,value,price-value-for-money,positive
