id,text,labels,org_index,industry,data_source
301987203,what is that 0.05 for? I thought this was a 0 commision app?,"['online-experience.app-website.-1', 'value.price-value-for-money.-1']",685,Trading,Google Play
301986740,This is a great app for people wanting to get started in investing.,"['online-experience.app-website.1', 'company-brand.general-satisfaction.1']",685,Trading,Google Play
393697185,"Once I test the app well, I'll be able to rate it better",['online-experience.app-website.0'],1040,Information Technology,Google Play
327146898,This is the application mlr,['online-experience.app-website.0'],3887,Streaming,Google Play
516198078,I can verfriy id card? I am in myannar,['account-management.account-access.0'],5827,Consulting,Google Play
301976962,Online shop done in 5 mins compared to the 60 mins in store experience,"['purchase-booking-experience.ease-of-use.1', 'logistics-rides.speed.1']",411,Groceries,Apple Store
301972969,Very easy to input info . Easy to compare different quotes and types of cover available. Direct link to insurer with info forwarded.,"['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1']",600,Price Comparison,Trustpilot
301979061,"To be honest, the shoes look really good. I watched it for a long time before, but I didn't shoot it. This time there is a discount, and I took it decisively.","['value.discounts-promotions.1', 'company-brand.general-satisfaction.1']",616,Fashion,Apple Store
301977583,"Brilliant having the app So easy, great benefits  I just love it","['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1']",411,Groceries,Apple Store
301988772,Exellent,['company-brand.general-satisfaction.1'],727,Fashion,Google Play
301974032,"Terrible service, if I could, I would not give it a star, in addition to my order being divided into two, it took a month to reach my hands, the package they use is a post and they delivered my package in poor condition, with the broken wrapper. Nothing recommendable, it is better to buy in stores like ORG115 or even ORG242.","['logistics-rides.speed.-1', 'company-brand.general-satisfaction.-1']",616,Fashion,Trustpilot
301979825,"Fantastic App, great choice at fabulous prices. The quality of products is exceptional. Absolute love the layout and ease of ordering.","['online-experience.app-website.1', 'company-brand.general-satisfaction.1', 'value.price-value-for-money.1']",727,Fashion,Apple Store
301984636,"It was quiet at night which is great for sleeping. The staff were ready to do whatever they could to make us comfortable. Breakfasts were very good and staff were very helpful and kind, going as far as arranging all the needed things I recommend this place","['staff-support.attitude-of-staff.1', 'company-brand.general-satisfaction.1']",549,Travel Booking,Google Play
301982629,Not very informative. You have to guess anything other than exchanging currencies,"['online-experience.app-website.-1', 'purchase-booking-experience.ease-of-use.-1']",514,Banking,Google Play
301973518,"I am very happy with shopping in this network, very good quality products at an affordable price","['online-experience.app-website.1', 'company-brand.general-satisfaction.1', 'value.price-value-for-money.1']",616,Fashion,Trustpilot
301988621,ORG727 is great.,['company-brand.general-satisfaction.1'],727,Fashion,Google Play
301980172,The best department store app thus far,"['company-brand.general-satisfaction.1', 'company-brand.competitor.1']",727,Fashion,Apple Store
301973547,"Fast shipment, but one of the three ordered items is damaged - for return.","['logistics-rides.speed.1', 'company-brand.general-satisfaction.-1']",616,Fashion,Trustpilot
301972381,Very helpful and informative.,['staff-support.attitude-of-staff.1'],600,Price Comparison,Trustpilot
301977247,Last update seems to have finally sorted annoying issues with the App,['online-experience.app-website.1'],411,Groceries,Apple Store
301972178,Really wonderful site very helpful saved my money and time. Thanks,"['online-experience.app-website.1', 'value.price-value-for-money.1']",600,Price Comparison,Trustpilot
301972956,Great . Thanks ORG600,['company-brand.general-satisfaction.1'],600,Price Comparison,Trustpilot
301984900,very easy very fast,"['purchase-booking-experience.ease-of-use.1', 'logistics-rides.speed.1']",549,Travel Booking,Google Play
301973290,Reminded me and came up with the goods,['staff-support.attitude-of-staff.1'],600,Price Comparison,Trustpilot
301980196,Unfair raffles lol,['value.discounts-promotions.-1'],727,Fashion,Apple Store
301988008,A+ experience!,['company-brand.general-satisfaction.1'],727,Fashion,Google Play
301979387,I love this app on phone but using it on iPad makes me angry.,['online-experience.app-website.-1'],685,Trading,Apple Store
301979355,"In addition to two crashes, I often can't execute the transaction. There is an instruction to click here to refresh, and then click the same to not trade.",['online-experience.app-website.-1'],685,Trading,Apple Store
301971837,Quick and easy,['online-experience.app-website.1'],727,Fashion,Google Play
301973667,Shipping faster. Goods corresponded exactly to the online description. No defects. Super satisfied,"['company-brand.general-satisfaction.1', 'logistics-rides.speed.1']",616,Fashion,Trustpilot
301981827,Efficient,['company-brand.general-satisfaction.1'],727,Fashion,Google Play
301979994,"Love, Love ORG727!!",['company-brand.general-satisfaction.1'],727,Fashion,Apple Store
301972815,Purchasing my product was both easy & hassle free - very pleased with the service,"['purchase-booking-experience.ease-of-use.1', 'company-brand.general-satisfaction.1']",600,Price Comparison,Trustpilot
301987544,Excellent Graphic User Interface 👏,['online-experience.app-website.1'],685,Trading,Google Play
301985010,"Good app still improved. It hardly freezes, sometimes it doesn't find the correct itinerary.",['online-experience.app-website.0'],549,Travel Booking,Google Play
301984591,Top app always happy,['online-experience.app-website.1'],549,Travel Booking,Google Play
301987937,I found a great ball.,['company-brand.general-satisfaction.1'],727,Fashion,Google Play
301983937,Excellent as an app.,['online-experience.app-website.1'],549,Travel Booking,Google Play
301981854,"Great functionality, great app, no issues, fully recommended. Loving the metal card.","['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1']",514,Banking,Google Play
301973298,In a crisis true colors show.  ORG92.com's idea of customer service is lip service and run-around.  Excuse after excuse.  No communication whatsoever just robotic lip service and run-around.  After the last Orders are delivered the account is CLOSED and staying so.  ORG92.com gets a one star review just for the fact that they drive themselves insane and can't help it.,"['staff-support.attitude-of-staff.-1', 'account-management.account-access.-1']",616,Fashion,Trustpilot
301973277,"Amazing support from ORG600 Quick and easy, the advisor was really helpful and spoke very well English. well happy with the service provided would definitely recommend 10 out of 10 :-) Nawaz fazal Newport!","['staff-support.attitude-of-staff.1', 'purchase-booking-experience.ease-of-use.1', 'company-brand.general-satisfaction.1', 'logistics-rides.speed.1']",600,Price Comparison,Trustpilot
301979984,I love ORG29 and the app. Thanks ORG29.,"['online-experience.app-website.1', 'company-brand.general-satisfaction.1']",727,Fashion,Apple Store
301977808,"The John Lewis app has had the option to add your loyalty card to apple wallet for a long time, why can’t I do this with the ORG411 one?","['online-experience.app-website.-1', 'purchase-booking-experience.ease-of-use.-1']",411,Groceries,Apple Store
301985071,Won't update with the information on the website.,['online-experience.app-website.-1'],549,Travel Booking,Google Play
301980702,Xq in my ORG369 application the car does not move if it arrives but you can not see the car moving just let me know when it arrives that it could be?,['online-experience.app-website.-1'],369,Ride Hailing,Google Play
301988172,I love sneakers. So its Good with me,['company-brand.general-satisfaction.1'],727,Fashion,Google Play
208212371,I want to know how to record conversations in this app.,['online-experience.app-website.0'],1040,Information Technology,Google Play
301981010,always give me problems never turn round,['company-brand.general-satisfaction.-1'],369,Ride Hailing,Google Play
301973561,"Everything is very fast, everything came up!) Thank you very much)","['company-brand.general-satisfaction.1', 'logistics-rides.speed.1']",616,Fashion,Trustpilot
301987731,Been going on 2 weeks still waiting on my Derrick Rose,['logistics-rides.speed.-1'],727,Fashion,Google Play
301971698,it is confuseing but got there in the end,['purchase-booking-experience.ease-of-use.-1'],600,Price Comparison,Trustpilot
428795946,How to sign in to ORG5827 account?,['account-management.account-access.0'],5827,Consulting,Apple Store
301977967,"I am happy with my iPhone 5, I am able to do all my online banking and a wide range of financial transactions but unfortunately ORG20 have decided to withdraw support for iOS 10.3.4 which is the latest version the phone supports. It  is a pathetic approach, there is no good reason not to support it apart from idleness or the illusion that the  ORG20 account is more important than a bank account.","['online-experience.app-website.-1', 'purchase-booking-experience.ease-of-use.-1']",411,Groceries,Apple Store
301984625,Great. I have all my payment info stored. Very easy and convenient,"['purchase-booking-experience.ease-of-use.1', 'company-brand.general-satisfaction.1']",549,Travel Booking,Google Play
301977591,How easy was this great app. Xx,"['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1']",411,Groceries,Apple Store
301986588,I have enjoyed the app a great deal.,"['online-experience.app-website.1', 'company-brand.general-satisfaction.1', 'value.price-value-for-money.1']",685,Trading,Google Play
301971761,ORG600 was very easy to use and got great prices so much that we renewed our car insurance policies:),"['purchase-booking-experience.ease-of-use.1', 'value.price-value-for-money.1']",600,Price Comparison,Trustpilot
301980061,Love fast easy website and service,"['online-experience.app-website.1', 'logistics-rides.speed.1']",727,Fashion,Apple Store
171981739,After I download the ORG932 application the password is with ORG932,['account-management.account-access.0'],932,Banking,Google Play
301980975,offer problem,['online-experience.app-website.-1'],369,Ride Hailing,Google Play
301977871,"Not a shop goes by where I don’t encounter a problem with this app. It is forever freezing to the point I have to close it down and pray it has saved the shop I have been doing for the past half hour. It stops when I try and add items to my basket, and has problems when trying to process a payment, and then forces me to the website to attempted complete the transaction. Not really an enjoyable or stress free way to shop!!","['online-experience.app-website.-1', 'purchase-booking-experience.ease-of-use.-1']",411,Groceries,Apple Store
506745156,Can i use these without any bank account?,['account-management.account-access.0'],5827,Consulting,Google Play
308613624,how do I update to my new address?,['account-management.account-access.0'],1134,Information Technology,Google Play
301977349,"Trying to do an online shop that should take half hour turns into a chore. The favourites section takes forever to load and once you’ve chosen something it will start you from the beginning again!! ORG411 tech guys, sort this out please","['online-experience.app-website.-1', 'logistics-rides.speed.-1']",411,Groceries,Apple Store
301986137,ORG616 best,['company-brand.competitor.1'],616,Fashion,Google Play
301977308,I’m happy with ORG411. Good prices website quite easy just need to remember if it’s something specific say no substitute and the delivery guys are lovely,"['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1', 'company-brand.general-satisfaction.1', 'value.price-value-for-money.1']",411,Groceries,Apple Store
301979087,"Couldn’t reach ORG616 care  , I haven’t receive my items even though the parches has placed long time ago since 19-4-2020 and I haven’t received it yes and it was been paid also !!!","['staff-support.attitude-of-staff.-1', 'logistics-rides.speed.-1']",616,Fashion,Apple Store
301981979,"Awesome services, easy to use. Great for travelling. I paid subscription for theetal card and must say I am impressed. The card looks great, also using it aboard could not be easier.","['purchase-booking-experience.ease-of-use.1', 'company-brand.general-satisfaction.1']",514,Banking,Google Play
301983244,C x,['online-experience.app-website.1'],411,Groceries,Google Play
301979454,So easy to use the app.  Enjoying keeping up with my finances now.,['online-experience.app-website.1'],685,Trading,Apple Store
301980843,It does not show the traffic,['online-experience.app-website.-1'],369,Ride Hailing,Google Play
301988215,So user friendly! Love it!,['online-experience.app-website.1'],727,Fashion,Google Play
301972098,"Switching Supplier today was made super easy and a pleasant experience due to Mark. He made sure that I got a great rate that I was satisfied with, and that I understood all the jargon that comes with it. Extremely happy with the service he provided today.","['staff-support.attitude-of-staff.1', 'purchase-booking-experience.ease-of-use.1', 'company-brand.general-satisfaction.1']",600,Price Comparison,Trustpilot
301973928,All the perfect sizes and products. And it has arrived in just two days!,"['company-brand.general-satisfaction.1', 'logistics-rides.speed.1']",616,Fashion,Trustpilot
301986117,Nice UI and great functionality.,['online-experience.app-website.1'],616,Fashion,Google Play
301978449,I always use it to make reservations; inside and outside the country.,['company-brand.general-satisfaction.1'],549,Travel Booking,Apple Store
301984266,"Very useful, especially when you want to try new locations to you and want to understand if it's worth it. Also great as an outlet point when something really is wrong",['company-brand.general-satisfaction.1'],549,Travel Booking,Google Play
301979645,Wish they can release iPadOS version.,['online-experience.app-website.-1'],685,Trading,Apple Store
301983935,Friendly app,['online-experience.app-website.1'],549,Travel Booking,Google Play
301971529,Always has the lowest car insurance quotes and good rewards.,"['value.discounts-promotions.1', 'value.price-value-for-money.1', 'company-brand.competitor.1']",600,Price Comparison,Trustpilot
301981447,Generally in happy with the app and don't have complained.,['online-experience.app-website.1'],514,Banking,Google Play
301987740,Good application .. although I think it could be better ..,['online-experience.app-website.1'],727,Fashion,Google Play
301972620,Once you've used this site you will receive spam emails for ever!  I have used their unsubscribe function and written to customer services on multiple occasions asking to be removed from their database.  They promise to remove my details but the emails keep coming.  I have now reported them to the Information Commissioner's Office.,"['online-experience.app-website.-1', 'staff-support.email.-1']",600,Price Comparison,Trustpilot
301985239,very easy,['purchase-booking-experience.ease-of-use.1'],600,Price Comparison,Google Play
301978689,I’m a long time and loyal customer of ORG616. I ordered a package worth $260.25. I got a notification on my phone saying it was delivered and went to check but nothing was found. I live in a location where I can see the delivery guy and the car but this time there was no car neither the guy. I called them 3 times and they refused to refund me keep telling me they delivered. They are contracting these third party small delivery companies who I’m skeptical of being reputable. I am disputing charges with my CC company.,"['staff-support.attitude-of-staff.-1', 'staff-support.phone.-1', 'logistics-rides.speed.-1']",616,Fashion,Apple Store
301984467,Excellent app,['online-experience.app-website.1'],685,Trading,Google Play
301974160,The automated bed and breakfast service which allows clients to move shares from their dealing accounts to their ISA accounts has been suspended until further notice.The excuse is that many of HL staff are home working so I was advised to sell and reinvest the proceeds in.my ISA account.This suggestion misses the point of a bed and breakfast transaction which is to maintain ownership of the share and  avoid  CGT liability. I question  also why staff are being allowed to be less productive as a result of home working.This is another example of poor customer service or rather a lack of it on HL' s part whilst charging more than any of its rivals.,"['staff-support.attitude-of-staff.-1', 'value.price-value-for-money.-1', 'company-brand.competitor.-1', 'company-brand.general-satisfaction.-1']",685,Trading,Trustpilot
301985498,"Can only use it for getting the codes and seeing times or what's on etc. Cannot book as won't let you book seats unless you go for VIP seats, so bit of a swizz, so you miss out on decent seats :0(",['online-experience.app-website.-1'],600,Price Comparison,Google Play
301981080,meets the basic needs of the service. obviously a good data connection improves the location. But in general it corresponds,['company-brand.general-satisfaction.1'],369,Ride Hailing,Google Play
301977205,App is sooo easy to use. Especially favourites,"['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1']",411,Groceries,Apple Store
301978350,"When doing a review, I cannot attach more than one photo for technical issues with the app. I was advised to delete my review and add a new one, however, I still cannot add more than one photo, so the problem persists and it is frustrating. My review refers to certain photos, so the review is useless without photos.","['company-brand.reviews.-1', 'online-experience.app-website.-1']",549,Travel Booking,Apple Store
301983040,Very friendly staff and lovley location,['staff-support.attitude-of-staff.1'],411,Groceries,Google Play
301971546,Easy to use and great discounts,"['purchase-booking-experience.ease-of-use.1', 'value.price-value-for-money.1']",600,Price Comparison,Trustpilot
301979288,"Great app, gives some basic information on the stocks, allows limit and stop loss, easy to track profits.","['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1']",685,Trading,Apple Store
301972800,All of my information came up automatically from last year which saved so much time. I saved nearly £200.00 on my existing insurer. Happy days.,['value.price-value-for-money.1'],600,Price Comparison,Trustpilot
191078350,"I'm getting to update my mobile number in this app, aff",['online-experience.app-website.0'],932,Banking,Google Play
301987192,The worst trading app. Suddenly not able to log in for closing my open positions. That's the scamming method ORG685 does use to make you loose your money. DON'T DOWNLOAD!,"['account-management.account-access.-1', 'online-experience.app-website.-1', 'company-brand.competitor.-1']",685,Trading,Google Play
301979559,"I believe they’re coming, but at the moment, there are no facilities to DRIP or create automatic regular buys.   Also, once you open a CFD account, you cannot close it, without closing your Invest and ISA accounts too. Funny that 🤔","['account-management.account-access.-1', 'company-brand.general-satisfaction.-1']",685,Trading,Apple Store
301979524,Thanks for the helpful stats and tools. And thank you for helping me learn. Best wishes!!  :),['company-brand.general-satisfaction.1'],685,Trading,Apple Store
301973057,We saved a lot of money by moving to the ORG600 choice and very happy with them,"['company-brand.general-satisfaction.1', 'value.price-value-for-money.1']",600,Price Comparison,Trustpilot
301972268,Called to switch energy supplier and got through to Courtney. She spoke clearly and was patient as I got my information together. Courtney was very calm and made the process seem quick and hassle-free. I'm all set up now and very grateful to Courtney. A real asset to this business ♥️,"['staff-support.attitude-of-staff.1', 'purchase-booking-experience.ease-of-use.1']",600,Price Comparison,Trustpilot
301985533,doesn't work,['company-brand.general-satisfaction.-1'],600,Price Comparison,Google Play
301984020,Happy to find the last minute hotel,['company-brand.general-satisfaction.1'],549,Travel Booking,Google Play
301982679,All working again. Thanks,['staff-support.attitude-of-staff.1'],411,Groceries,Google Play
301982168,"I recently received a email to say my account was ready to set up (was on a waitlist in New Zealand waiting for it to launch here) but when I went to do so, it just went to a screen telling me to invite friends and wouldn't actually let me set my account up at all. I contacted ORG514 via email to ask what the problem was, was told to uninstall/reinstall, then if there were any more problems to contact them via the app....which I still can't get in to! Very disappointing.","['staff-support.attitude-of-staff.-1', 'online-experience.app-website.-1', 'company-brand.general-satisfaction.-1']",514,Banking,Google Play
301979566,Love this app!!!,['online-experience.app-website.1'],685,Trading,Apple Store
301985507,Lot's of choices for cut price meals here. App says some restaurants need  no prior warning that you are using MM. This is is not the case as we found  out at Frankie and Bennys. Always tell the server when ordering that you  are using MM.,['online-experience.app-website.-1'],600,Price Comparison,Google Play
301979807,Best way to shop great sales,"['value.discounts-promotions.1', 'company-brand.competitor.1']",727,Fashion,Apple Store
301982621,Use abraod with no hussle perfect service,"['purchase-booking-experience.ease-of-use.1', 'company-brand.general-satisfaction.1']",514,Banking,Google Play
611439242,Can I restore access to my account when my email and phone number are lost?,['account-management.account-access.0'],5827,Consulting,Google Play
301983880,I always get great deals.😀,['value.price-value-for-money.1'],549,Travel Booking,Google Play
301981098,"It was really easy and fast to set depart and arrive destinations. Had trouble trying to call the driver though, call cut. But I liked the practicity anyway.","['staff-support.phone.0', 'purchase-booking-experience.ease-of-use.1', 'logistics-rides.speed.1']",369,Ride Hailing,Google Play
301973171,"I have always been someone who tended to stick with the same company but since retirement I decided to try the ORG600 comparison site to save some money. It is really quite easy once you have entered your details all the results are shown on the screen and you can read and decide which is the best deal. When you have made your choice you are directed to the relevant webpage to finalise and pay. I renewed two car policies and a house policy, saving myself £180, so it was worth the effort. I will do the same next year.","['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1', 'value.price-value-for-money.1']",600,Price Comparison,Trustpilot
301985471,Why is the draining my battery even when I'm not using it? I don't want it running in the background - I just want it to run when I launch it.,['online-experience.app-website.-1'],600,Price Comparison,Google Play
301980968,a here does not arrive more or take the order,"['purchase-booking-experience.ease-of-use.-1', 'logistics-rides.speed.-1']",369,Ride Hailing,Google Play
301981066,as a public i am very happy. save my money and time .thanks to ubsr,['value.price-value-for-money.1'],369,Ride Hailing,Google Play
301985081,Awsome took for vacations,['company-brand.general-satisfaction.1'],549,Travel Booking,Google Play
301973216,"I have an account with ORG600 who advised me by email about a possible better tariff available from the same company I was already with.  I have used this service  successfully before. I had a little difficulty completing the form finding the meter reference numbers etc.,  so I called the helpline and spoke to a lovely gentleman called Mark Moore.  He walked and talked me through the whole process and I changed my tariff with ORG198 and saved ¬£387 a year and because I was still with the same company did not have to pay the ¬£70 exit fee.  I cannot recommend the service or ORG600 too highly.  The  most  worthwhile hours work I‚Äôve spent for a long time.","['staff-support.phone.1', 'staff-support.email.1', 'company-brand.general-satisfaction.1', 'value.price-value-for-money.1', 'staff-support.attitude-of-staff.1']",600,Price Comparison,Trustpilot
301977160,"It is so easy to use this app to do the grocery shop, saves time and hassle of going out to the supermarket.","['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1']",411,Groceries,Apple Store
301971938,"Found a decent quote, better than elsewhere. Easy peasy, lemon squeezy.","['purchase-booking-experience.ease-of-use.1', 'value.price-value-for-money.1', 'company-brand.competitor.1']",600,Price Comparison,Trustpilot
301980784,Pq needs to have the name cleaned to ask for an ORG369 ... Unnecessary it has seen awful,['company-brand.general-satisfaction.-1'],369,Ride Hailing,Google Play
301982265,"Impeccable. For my travels I use exclusively my card ORG514, there is no photo","['purchase-booking-experience.ease-of-use.1', 'company-brand.general-satisfaction.1']",514,Banking,Google Play
301980595,M urgy and I never got the rate,"['staff-support.attitude-of-staff.-1', 'value.price-value-for-money.-1']",369,Ride Hailing,Google Play
301978861,Since 10 sending messages and no one answers .....,['staff-support.attitude-of-staff.-1'],616,Fashion,Apple Store
301983790,"To Travel and Find the Support Needed, Excellent. Practical, Simple, Intuitive. Very good.","['staff-support.attitude-of-staff.1', 'purchase-booking-experience.ease-of-use.1', 'company-brand.general-satisfaction.1']",549,Travel Booking,Google Play
301979833,They always on time and my items aren’t missed up. They are the truth when it comes to getting it fast! I love ORG10,"['company-brand.general-satisfaction.1', 'logistics-rides.speed.1']",727,Fashion,Apple Store
301982201,Nice,['company-brand.general-satisfaction.1'],727,Fashion,Google Play
301988524,Love the customer service and the app is so user friendly!,"['staff-support.attitude-of-staff.1', 'purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1']",727,Fashion,Google Play
301972034,Any potential savings from ORG600 unbalanced quotes are not worth the hours of wasted time waiting on the phone or the advised LIVE? chat of these energy companies whilst trying to sort claimed unreceived final readings and overdue refunds.,"['staff-support.attitude-of-staff.-1', 'staff-support.phone.-1', 'value.price-value-for-money.-1', 'logistics-rides.speed.-1']",600,Price Comparison,Trustpilot
301974040,"Delivery is very fast! I ordered sneakers and bags and this and that is just class! The bag pleased me, but I was just delighted with the sneakers, soft and light despite the massive appearance! Thank!","['company-brand.general-satisfaction.1', 'logistics-rides.speed.1']",616,Fashion,Trustpilot
301972220,Quick results and good value for money,"['value.price-value-for-money.1', 'logistics-rides.speed.1']",600,Price Comparison,Trustpilot
301973434,"I ordered 3 rubber hot water bottles from a seller on ORG616 Marketplace, an order that was fulfilled by ORG616 ('fulfilled by ORG616' just means that the seller stores their goods in one of ORG616's warehouses, and ORG616 is responsible for sending out the order and arranging any returns). Instead of rubber, I was sent 3 thermoplastic hot water bottles instead, which I am not happy about - I don't buy plastic bottles. I tried to initiate a returns process on the same day the bottles were delivered, only for the website to tell me that this order is not eligible for a return (no reason given). I tried contacting ORG616, but they are routing all contacts through their chatbot at the moment, and the only reply that keeps giving is that this order is no longer eligible for a return - as if I was tardy in applying for one - even though it was the same day the order was delivered. I have tried to contact ORG616 about 6 or 7 times, with no success. I know because of being a law graduate that ORG616 is breaking consumer protection legislation in this country by refusing to provide me with a remedy - they have sent me the wrong goods, goods that are other than described - and now they are refusing to allow me to return the incorrect items: no return, no refund - no refund, no remedy - this is illegal - and at the moment, it seems I have no way of getting through to them to let them know. My health is disabled with several chronic illnesses that leave me unable to work, and although this order wasn't costly I can't afford to waste money on incorrect items that ORG616 is refusing to allow me to return. Also, the hot water bottles were purchased to help me with my health (one of the chronic illnesses is extremely painful, and the warmth from the bottles helps with the pain). Unfortunately, I am on my last rubber bottle at the moment and it looks like I am going to have to go elsewhere to purchase a spare bottle to use when this one gives out (I use them 24 hours a day, every day of the year, so they don't always last long). I would caution anyone against ordering from ORG616 at the moment - unless it is from a seller on ORG616 Marketplace that fulfils their own orders - as they don't seem in the slightest bit interested in providing any customer service whatsoever - so if you have any problem with your order, you may not receive a remedy - and I have found it impossible to get through to their customer service department (it's usually not easy, but doesn't seem in any way feasible at the moment). Caveat emptor - buyer beware!","['staff-support.attitude-of-staff.-1', 'online-experience.app-website.-1', 'company-brand.general-satisfaction.-1']",616,Fashion,Trustpilot
301983602,easy to load and manage my points,"['value.discounts-promotions.1', 'purchase-booking-experience.ease-of-use.1', 'logistics-rides.speed.1']",411,Groceries,Google Play
301979051,This app has everything i want amazing cute clothes this app is amazing 😉 5 stars ⭐️⭐️⭐️⭐️⭐️,"['online-experience.app-website.1', 'company-brand.general-satisfaction.1']",616,Fashion,Apple Store
301983246,So easy to order online,"['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1']",411,Groceries,Google Play
301973241,"Nicola... North East. Thank you soooooo much for all of your help today. You were fabulous.  Having experienced a very bad response from my energy supplier,  you made changing over to a new one quick and easy. Your email was received promptly with all relevant information on and in an easy and understandable layout.  Nicola...you rock!!","['staff-support.attitude-of-staff.1', 'purchase-booking-experience.ease-of-use.1', 'staff-support.email.1']",600,Price Comparison,Trustpilot
301982442,Top,['company-brand.general-satisfaction.1'],727,Fashion,Google Play
301980480,"the service charge of the app is doing it in dollars and this is generating more expense when paying my account, because the conversion to Chilean pesos has to be done.","['purchase-booking-experience.ease-of-use.-1', 'online-experience.app-website.-1', 'value.price-value-for-money.-1']",369,Ride Hailing,Google Play
301982377,Best banking app ever if you use more than one currency,"['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1', 'company-brand.competitor.1']",514,Banking,Google Play
301985893,It is literally too early to buy things.,['company-brand.general-satisfaction.1'],616,Fashion,Google Play
301984276,Exceptional service and impossible to ORG179 prices 😊,"['company-brand.general-satisfaction.1', 'value.price-value-for-money.1', 'company-brand.competitor.1']",549,Travel Booking,Google Play
301988038,"Very good application and very intuitive, it works very well","['purchase-booking-experience.ease-of-use.1', 'online-experience.app-website.1']",727,Fashion,Google Play
301983506,Good to see how many points you have and some great deals,"['value.discounts-promotions.1', 'value.price-value-for-money.1']",411,Groceries,Google Play
619634923,My account temporarily disabled.. How to reactivate ??,['account-management.account-access.0'],5827,Consulting,Google Play
301984270,"great for booking flights and Hotels, no so good for finding good restaurants",['online-experience.app-website.-1'],549,Travel Booking,Google Play
301980991,does not report what changes there are,"['online-experience.app-website.-1', 'value.price-value-for-money.-1']",369,Ride Hailing,Google Play
301985714,Excellent experience,['company-brand.general-satisfaction.1'],685,Trading,Google Play
301977864,"Worldwide promote your apps and rapidly increase downloads and revenue above 100 times! We are app marketing experts with rich experience, please contact us on Facebook: aso8866 .or Ping me at Skype/WhatsApp: +8615982207105 .Everyone can enjoy 3-day trial now!","['online-experience.app-website.-1', 'purchase-booking-experience.ease-of-use.1']",411,Groceries,Apple Store
301987962,I consider it good ... somewhat expensive but good quality products I love this store.It is my favorite,"['company-brand.general-satisfaction.1', 'value.price-value-for-money.1', 'company-brand.competitor.1']",727,Fashion,Google Play
301984014,"Very independent, objective, truthful assessments of locations.",['company-brand.general-satisfaction.1'],549,Travel Booking,Google Play
301983641,Cl Could do with digital receipts in the app,"['online-experience.app-website.-1', 'purchase-booking-experience.ease-of-use.-1']",411,Groceries,Google Play
